Genie Biologique et Agroalimentaires (GBA),Microbiologie Les projets Ayant ete en 5e annee au DESS de Cosmetologie a chicoutimi je n'ai pas non plus pu voir tout ce qui s'est fait en 5e annee en cicle initial 
Informatique et Gestion (IG),Projet Web Projet Industriel
Genie Biologique et Agroalimentaires (GBA),Management
Genie Biologique et Agroalimentaires (GBA),Les matieres de biologique en general mais egalement toutes les matieres qui nous on appris la rigueur des calculs
Genie Biologique et Agroalimentaires (GBA),Je ne pense pas a un enseignement en particulier c'est plutot un ensemble. Les travaux pratiques et projets en autonomie sont tres utiles pour se preparer.
Genie Biologique et Agroalimentaires (GBA),Les projets de groupe : projet bibliographique de fin de 3A Les mises en situtation lors de la 5A : Lean Management Optimisation industrielle
Genie Biologique et Agroalimentaires (GBA),Pour mon insertion professionnelle chez Sanofi la microbiologie la cinetique biologique et la microbiologie industrielle (Genie des procedes) a Polytech ainsi que la technologie de culture et la bioproduction au cours du M2 BIOTIN ont ete les enseignements les plus valorisants. Aujourd'hui au cours de ma mission en V.I.E j'utilise plutot les connaissances que j'ai acquises par les enseignements dans le domaine de la chimie des procedes et de l'analytique (Chimie des solutions et electrochimie Spectrometrie et chromatographie Controle physico-chim. en laboratoire Statistiques - metrologie...).
Mecanique et Interactions (MI),Tous les enseignements lies a la conception mecanique
Genie Biologique et Agroalimentaires (GBA),Plan d'experience ATA exercices de methodes de production
Genie Biologique et Agroalimentaires (GBA),Enseignements du master IBIS realises en double diplome
Genie Biologique et Agroalimentaires (GBA),Travail en equipe sur des projets  Realisation d'experience et rapport de synthese  Presentation orale Apprendre a apprendre et a ecouter
Informatique et Gestion (IG),Algorithmie et dev web.
Genie Biologique et Agroalimentaires (GBA),Tous les enseignements sont enrichissants et permettent une insertion professionnelle facilitee. Les acquis de chaque enseignement m'ont permis d'acquerir une gestion de projet et une vue d'ensemble. L'execution des projets permet aussi d'acquerir une certaine maitrise. 
Mecanique et Interactions (MI),Je n'ai rejoint le monde du travail que pour des stages et des projets en entreprise pour l'instant. Dans le secteur de la conception mecanique les enseignements les plus utiles pour moi sont les apprentissages relies au design mecanique et l'utilisation de logiciels de dessin et de calcul de dimensionnement.
Systemes Embarques (SE - apprentissage),A peu pret tout en lien avec electronique/ conception de circuit imprime et leur debuggage electronique programmation language objet VHDL c automatique electromagnetisme etc 
Informatique et Gestion (IG),Le management le fait d'etre autodidacte dans certaines situations
Genie Biologique et Agroalimentaires (GBA),Le fait que nous voyons de nombreuses choses nous permet d'avoir des notions dans tous les domaines 
Mecanique et Interactions (MI), 
Microelectronique Et Automatique (MEA),Technologie
Eau et Genie Civil (EGC - apprentissage),GC + environnement + gestion de projet + anglais. A savoir j'aurais fait des cours de portugais pour facilitation les echanges avec les equipes )  Au global tous les cours des intervenants sont benefiques et devraient etre democratises. Il faudrait egalement que ces dernieres preparent leurs interventions et ne se contentent pas de raconter une partie de leur vie/experience pro.
Mecanique et Interactions (MI),Mecanique des fluides  Mecanique des solides 
Eau et Genie Civil (EGC - apprentissage),RDM construction geotechnique.
Materiaux (MAT),ACV eco-conception chimie minerale chimie organique enseignements specifiques materiaux (verre ceramique ...)
Informatique et Gestion (IG),Les enseignements lies au developpement web :  - projet AWI - projet IWA - IDO (avec la formation AWS) - Projets Industriels - Data science 
Eau et Genie Civil (EGC - apprentissage),Enseignements de la construction Management
Eau et Genie Civil (EGC - apprentissage),L'apprentissage est un vrai plus pour rentrer de la meilleure des manieres dans le monde du travail.
Mecanique Structures Industrielles (MSI - apprentissage),La RDM
Informatique et Gestion (IG),Informatique Communication Droit Economie Gestion
Informatique et Gestion (IG),Le module web
Eau et Genie Civil (EGC - apprentissage),Marche public et connaissances des reseaux (EU AEP EP)
Informatique et Gestion (IG),Developpement web/ gestion de projet 
Informatique et Gestion (IG),Genie logiciel
Eau et Genie Civil (EGC - apprentissage),Traitement de l'eau Geotechnique Utilisation des logiciels
Eau et Genie Civil (EGC - apprentissage),Traitement des eaux hydraulique outils informatiques (modelisation excel...) reglementation environnementale etc..
Eau et Genie Civil (EGC - apprentissage),Tous
Microelectronique Et Automatique (MEA),developpement logiciel (C C++ JAVA KOTLIN...)
Mecanique et Interactions (MI),Conception mecanique - CAO
Systemes Embarques (SE - apprentissage),RAS
Materiaux (MAT),Developpement durable ACV
Microelectronique Et Automatique (MEA),Technique et relationnel 
Microelectronique Et Automatique (MEA),Enseignements scientifiques generalistes
Materiaux (MAT),Les differents projets
Eau et Genie Civil (EGC - apprentissage),GC
Materiaux (MAT),- la science des materiaux - la vision industrielle
Materiaux (MAT),Il n'y a pas un specifique mais l'ensemble qui aide a la facon de reflechir.
Materiaux (MAT),Energie physique de solide Traitement d'image
Microelectronique Et Automatique (MEA),La pratiques du developpement informatique au travers de projets
Genie Biologique et Agroalimentaires (GBA),Etant en developpement de differents produits un peu tous les enseignements : huile nutrition matrice alimentaire microbiologie ....
Genie Biologique et Agroalimentaires (GBA),Gestion de projet
Systemes Embarques (SE - apprentissage),Je ne pense pas que la question soit tres pertinente en tant que ramasseur de patates
Informatique et Gestion (IG),Globalement tous.
Microelectronique Et Automatique (MEA),Les projets semestriels
Materiaux (MAT),Projets de groupe Droit polymeres composites materiaux biosources TP Anglais PFE Plan d'experience 
Genie Biologique et Agroalimentaires (GBA),L'option QSE.
Genie Biologique et Agroalimentaires (GBA),Les enseignements de specialisation de 5eme annee / maitrise des outils informatiques / demarche projet
Eau et Genie Civil (EGC - apprentissage),Management de projet Anglais
Genie Biologique et Agroalimentaires (GBA),Matrice alimentaire (lait) Chimie/Biochimie Management 
Genie Biologique et Agroalimentaires (GBA),cas pratiques projets (mais les cours plus theoriques en amont sont indispensables)
Sciences et Technologies de l'Eau (STE),Les matieres liees au traitement des eaux au dimensionnement des ouvrages. Les enseignements traitant de l'hydraulique sont egalement des matieres qui me permettent de mieux comprendre certains sujets en entreprise.
Microelectronique Et Automatique (MEA),Pour le CDI que j'ai pu avoir : uC logique traitement du signal etc... Ces connaissances m'ont ete benefiques pour bien comprendre les systemes et les apprehender   Pour maintenant : ces connaissances me permettent de mieux comprendre mon environnement sur les aspects technologiques et techniques 
Genie Biologique et Agroalimentaires (GBA),Negociation relation humaine
Microelectronique Et Automatique (MEA),Les projets et l'autonomie laisses aux etudiants. La logique de programmation.
Mecanique et Interactions (MI),Les ordres de grandeur La rigueur Le serieux  
Genie Biologique et Agroalimentaires (GBA),Le management Cours HACCP Cours sur les audits Cours sur les normes
Sciences et Technologies de l'Eau (STE),GDP et FTU (revoir methodes d'enseignement) Chimie de l'eau  Hydraulique Filtration et decantation  Outils informatiques et logiciels
Microelectronique Et Automatique (MEA),Robotique / electronique / filtrage analogique / projet semestriel /programmation oriente objet / STM
Eau et Genie Civil (EGC - apprentissage),Hydraulique (en charge et surface libre) Genie Civil (tout confondu)
Microelectronique Et Automatique (MEA),Robotique mobile programmation microcontroleur
Microelectronique Et Automatique (MEA),Developpement informatique Management  Droit Electronique numerique et digitale  Traitement du signal
Microelectronique Et Automatique (MEA),Vhdl microcontroleur electronique (tous les cours) automatique statistiques.
Systemes Embarques (SE - apprentissage),Developpement logiciel temps reel et embarque et linux embarque 
Systemes Embarques (SE - apprentissage),Globalement toutes
Systemes Embarques (SE - apprentissage),Electronique Numerique Conception PCB Informatique Embarquee (STM32) Programmation Orientee Objet (C++)
Materiaux (MAT),Les enseignements relatifs aux materiaux plans d'experience et statistiques
Informatique et Gestion (IG),Introduction a la Recherche / IA & Data Science / Statistiques / Algorithmiques / Dev Web
Genie Biologique et Agroalimentaires (GBA),Nutrition et sante microbiologie
Eau et Genie Civil (EGC - apprentissage),Hydraulique a surface libre/en charge intervention sur la reglementation 
Sciences et Technologies de l'Eau (STE),La pluridisciplinarite des notions/competences abordees est le plus de cette formation.   Les sorties terrains sont egalement un plus ! Le diagnostic de cours d'eau est un vrai plus pour la suite. Les visites de STEP egalement! Toutes les sorties techniques/terrains sont a mon sens essentiels. 
Eau et Genie Civil (EGC - apprentissage),Hydraulique en charge hydrologie mais cela a un impact tres faible dans mon metier tout de meme
Mecanique Structures Industrielles (MSI - apprentissage),RDM BE
Mecanique et Interactions (MI),Faire preuve de souplesse et de reactivite 
Sciences et Technologies de l'Eau (STE),Les matieres concernant l'hydraulique la modelisation et la manipulation de logiciels de SIG.
Mecanique et Interactions (MI),Les cours de l'option production
Genie Biologique et Agroalimentaires (GBA),Gestion de projet
Microelectronique Et Automatique (MEA),Pas directement pour mon metiers actuel mais des enseignements sur la finances gestion bancaire enseignement pour declaration entrainement a la negociation de contrats.. 
Mecanique et Interactions (MI),Les cours python le dessin technique la conception mecanique la simulation numerique
Microelectronique Et Automatique (MEA),Electronique  Circuit integre analogique / numerique  Composant  Microcontroleur Informatique Automatique Systeme logique Systeme boucle Anglais
Microelectronique Et Automatique (MEA),   
Informatique et Gestion (IG),Java Web Data science (AI) Devops Anglais Communication
Informatique et Gestion (IG),Les metiers qui touchent le domain data
Sciences et Technologies de l'Eau (STE),Hydrologie - Hydraulique - Mise en pratique sur logiciels (HEC-HMS PCSWMM QGIS..)
Informatique et Gestion (IG),Quasiment aucun la formation etait tres basee sur le developpement et assez peu sur la gestion de projet selon moi. La partie gestion de projet devrait egalement inclure une partie de communication avec les clients de roadmapping sur des projets sur lesquels nous n'avons pas forcement la main (si on n'est pas developpeur) 
Materiaux (MAT),Tous les cours generalistes sur les materiaux (verres ceramiques polymeres metal composite...). Ils nous donnent une tres bonne base pour comprendre n'importe quel projet.   Gros plus pour la formation en eco-conception je n'en ai pas d'utilite dans mon metier actuel mais cette competences est tres appreciee par les entreprises. 
Microelectronique Et Automatique (MEA),Enseignement de la programmation objet
Microelectronique Et Automatique (MEA),Electronique  Informatique
Sciences et Technologies de l'Eau (STE),Genie des procedes  VBA-Excel Hydraulique en charge 
Mecanique et Interactions (MI),Conception mecanique 
Microelectronique Et Automatique (MEA),Programmation en C et C++ Systemes embarques Electronique Anglais
Microelectronique Et Automatique (MEA),Microelectronique et projets
Mecanique et Interactions (MI),Mecanique des Milieux Continus Materiaux Standards Generalise Methode des Elements Finis Plasticite Viscoelasticite 
Mecanique et Interactions (MI),Calculs de structures / CAO / Connaissances des normes de conception / Gestion de projet 
Mecanique Structures Industrielles (MSI - apprentissage),Maths et mecanique 
Microelectronique Et Automatique (MEA),Le developpement embarque
Microelectronique Et Automatique (MEA),Le management Les projets de groupe L'electronique 
Microelectronique Et Automatique (MEA),l'electronique et la programmation
Mecanique Structures Industrielles (MSI - apprentissage),Matieres techniques
Mecanique Structures Industrielles (MSI - apprentissage),Travaux pratiques norme reglementation maths projets 
Microelectronique Et Automatique (MEA),Systeme embarque C C++ Architecture SDF 
Systemes Embarques (SE - apprentissage),Tout et sinon avoir appris a apprendre grace a l'apprentissage (j'ai plus ou moins utilise tous ce que jai pu apprendre et j'en garde des bases solides et reutilisables (mais il y a toujours sources d'amelioration))  (et l'anglais encore un grand merci a Syl)
Eau et Genie Civil (EGC - apprentissage),L'hydraulique et le genie civil 
Mecanique et Interactions (MI),Informatique
Eau et Genie Civil (EGC - apprentissage),hydraulique hydrologie
Mecanique et Interactions (MI),Conception mecanique
Mecanique et Interactions (MI),Dans mon cas le dessin technique la RDM ainsi que la MEF et la MMC.
Systemes Embarques (SE - apprentissage),Les projets les cours de  codage (apprendre plusieurs langages)
Systemes Embarques (SE - apprentissage),Logique VHDL 1 Automatique Gestion d'entreprise Reseaux 
Mecanique Structures Industrielles (MSI - apprentissage),Metallurgie/soudage/chaudronnerie 
Microelectronique Et Automatique (MEA),L'ensemble mais pousse plus la formation cote 'reseaux'
Microelectronique Et Automatique (MEA),Cours d'electronique Cours d'anglais Cours d'insertion profesionnelle (redaction de CV et de lettre de motivation)
Systemes Embarques (SE - apprentissage),Enseignements de conception de programmation.  Enseignements scientifiques (CEM electromag)  Automatique electronique Droit gestion de projet
Mecanique et Interactions (MI),dessin technique optimisation simulation procedes speciaux communication
Systemes Embarques (SE - apprentissage),Matiere technique
Mecanique et Interactions (MI),Les TP de manipulations logiciels/informatiques. (Apprentissage par projet)
Microelectronique Et Automatique (MEA),Programmation C et C++ Systemes embarques Connaissances structurelles des se et microcontroleurs
Microelectronique Et Automatique (MEA),Systemes embarques Electronique Programmation
Microelectronique Et Automatique (MEA),Conception et programmation de FPGA en VHDL programmation par registre de microcontroleurs programmation en C reseaux
Microelectronique Et Automatique (MEA),SYSTEME EMBARQUE / CIN  
Mecanique Structures Industrielles (MSI - apprentissage),Mecanique Gestion de projet Metallurgie Chaudronnerie  
Sciences et Technologies de l'Eau (STE),Traitement des eaux usees et chimie de l'eau
Sciences et Technologies de l'Eau (STE),Hydraulique Gestion de projet genie des procedes
Microelectronique Et Automatique (MEA),Anglais Insertion pro 
Microelectronique Et Automatique (MEA),Les enseignements en microelectroniques systemes logiques architectures des processeurs
Genie Biologique et Agroalimentaires (GBA),Process les TP les enseignement sur la nutrition
Systemes Embarques (SE - apprentissage),Reseaux
Microelectronique Et Automatique (MEA),Enseignements scientifiques et techniques
Microelectronique Et Automatique (MEA),Les projets semestriels 
Mecanique Structures Industrielles (MSI - apprentissage),Mecanique generale tuyauterie mathematiques
Mecanique Structures Industrielles (MSI - apprentissage),Mecanique
Mecanique Structures Industrielles (MSI - apprentissage),-
Mecanique Structures Industrielles (MSI - apprentissage),Les enseignements techniques 
Systemes Embarques (SE - apprentissage),Electronique Management Capteur metrologie Automatisme 
Mecanique Structures Industrielles (MSI - apprentissage),Soudage  Materiaux  Dimensionnement  
Mecanique Structures Industrielles (MSI - apprentissage),Les cours sur les procedes de soudage ainsi que le calcul d'equipement sous pression
Systemes Embarques (SE - apprentissage),Reseau et Telecommunication
Microelectronique Et Automatique (MEA),Adaptation capacite d'apprentissage rapide. 
Mecanique Structures Industrielles (MSI - apprentissage),Soudabilite des materiaux 
Mecanique Structures Industrielles (MSI - apprentissage),Toutes les matieres qui ont un aspect technique industriel 
Systemes Embarques (SE - apprentissage),electronique / filtrage analogique numerique / anglais / droits dans l'entreprise / automatique
Materiaux (MAT),MASC en mat3 et tous les projets qui ont necessite la redaction d'un rapport et/ou une presentation orale
Microelectronique Et Automatique (MEA),Informatique 
Systemes Embarques (SE - apprentissage),Les projets C et VHDL
Microelectronique Et Automatique (MEA),Systeme embarque VHDL microcontroleur architecture des semi-conducteurs reseau
Informatique et Gestion (IG),Developpement web architecture de systeme d'information
Materiaux (MAT),Ecoconception
Materiaux (MAT),Ecoconception droit communication management
Materiaux (MAT),Verres Ceramiques Durabilite de Verres et Ceramiques Durabilite de Metaux
Sciences et Technologies de l'Eau (STE),Hydraulique insertion professionnelle droit
Sciences et Technologies de l'Eau (STE),L'hydraulique procedes de traitement la chimie des eaux l'hydrobiologie l'ecologie la microbiologie SIG.
Informatique et Gestion (IG),Anglais Algorithmique Math statistiques 
Eau et Genie Civil (EGC - apprentissage),Organisation de chantier  Communication (prise de parole en public confiance en soi) 
Sciences et Technologies de l'Eau (STE),COMMUNICATION ET TOUTES LES MATIERES DE 4E ET 5E ANNEES
Materiaux (MAT),RDM dommage que le professeur ne nous a pas ete utile du tout.  MEF Tres satisfait de l'enseignement 
Materiaux (MAT),Les projets en analyse de cycle de vie que ce soit en 4 eme annee ou en 5 eme annee avec la formation de packaging !  Ke projet de fin d'etudes a ete benefique aussi
Sciences et Technologies de l'Eau (STE),Excel
Sciences et Technologies de l'Eau (STE),Je ne me souviens pas tres bien dans la globalite je me rappelle plutot d'une maniere de travailler et de reflechir et d'une bonne conduite a tenir. Les competence ca s'apprend mais on n'apprend pas a etre de bon contact. C'est le relationnel et l'envie d'apprendre des autres qui fait tout selon moi.
Sciences et Technologies de l'Eau (STE),Qgis Pcswmm
Informatique et Gestion (IG),- La modelisation est tres importante dans mon metier - Data Science - Java - Developpement Web pour l'ouverture d'esprit
Materiaux (MAT),les cours de thermodynamique et de metallurgie pour comprendre plus facilement le fonctionnement de fours de traitement thermique
Genie Biologique et Agroalimentaires (GBA),Cours de derniere annee et stages
Sciences et Technologies de l'Eau (STE),Hydraulique surface libre et en charge Specialite hydraulique  Hydrologie Statistiques  Metrologie VBA 
Sciences et Technologies de l'Eau (STE),Traitement de l'eau -> dimensionnement d'une station d'epuration et d'une station d'eau potable Hydraulique -> adduction d'eau potable et a surface libre Management de projet 
Sciences et Technologies de l'Eau (STE),Savoir etre Enseignements techniques (hydrologie notamment)
Mecanique Structures Industrielles (MSI - apprentissage),L'accompagnement l'ecoute et le conseil de mes professeurs 
Sciences et Technologies de l'Eau (STE),Pratique de projet concrets
Materiaux (MAT),Enseignements materiaux en particulier tous ce qui touche a la metallurgie et aux composites (en incluant les polymere).  
Mecanique Structures Industrielles (MSI - apprentissage),Les enseignements de metallurgie et le management
Mecanique Structures Industrielles (MSI - apprentissage),Specialisation du domaine de l'industrie 
Informatique et Gestion (IG),Les projets
Informatique et Gestion (IG),Web
Mecanique Structures Industrielles (MSI - apprentissage),mecanique maths chaudronnerie fabrication soudee procedes de soudage BE
Mecanique Structures Industrielles (MSI - apprentissage),Soudage Mecanique Management 
Mecanique Structures Industrielles (MSI - apprentissage),Soudage Metallurgie Mecanique Management Mathematiques Anglais Projet mecanique Tous les cours en liens avec la chaudronnerie et techniques d'assemblage/formage
Mecanique Structures Industrielles (MSI - apprentissage),Etudes 
Mecanique Structures Industrielles (MSI - apprentissage),Les cours de CODAP par des intervenants du SNCT parfois des anciens eleves. Tous les cours proposes de maniere generale surtout ceux appliques au soudage/metallurgie. L'importance de l'atelier de chaudronnerie de l'IUT de Nimes et enseignants.
Mecanique Structures Industrielles (MSI - apprentissage),Management Soudage Mecanique Chaudronnerie
Mecanique Structures Industrielles (MSI - apprentissage),Globalement tous
Eau et Genie Civil (EGC - apprentissage),Les enseignements lies a l'elaboration d'un projet commun sont les plus benefiques.
Genie Biologique et Agroalimentaires (GBA),microbiologie Anglais biochimie
Genie Biologique et Agroalimentaires (GBA),Excel savoir raisonner chercher une information etre rigoureuse
Materiaux (MAT),L'informatique
Informatique et Gestion (IG),Les projets de developpement (projet industriel etc) les notions d'economies/compta (elles me serves dans mon secteurs d'activites pour mieux comprendre des enjeux de projets)
Genie Biologique et Agroalimentaires (GBA),Les cours de management de projet de communication l'aide a la realisation d'un CV/lettre de motivation et les simulations d'entretien d'embauche les projets de fin d'etude qui nous permettent de gagner en autonomie et en assurance les cours d'informatique les cours sur les methodes d'amelioration continue
Genie Biologique et Agroalimentaires (GBA),Toute la 5A : retours d'experiences des intervenants cours en lien avec la production. TP a l'ATA.
Sciences et Technologies de l'Eau (STE),L'hydraulique en general QGIS.
Genie Biologique et Agroalimentaires (GBA),Droit du travail gestion de projet stage fin d'etude
Genie Biologique et Agroalimentaires (GBA),Les enseignements sur les matrices alimentaires les statistiques et l'analyse sensorielle. 
Sciences et Technologies de l'Eau (STE),De maniere generale les cours d'hydrauliques et genie des procedes 
Sciences et Technologies de l'Eau (STE),j'ai fait une CAE. Le parcours dans son ensemble est utile et pertinent
Sciences et Technologies de l'Eau (STE),Hydraulique souterraine geologie et Chimie des eaux
Sciences et Technologies de l'Eau (STE),hydraulique fluviale
Sciences et Technologies de l'Eau (STE),Les travaux pratiques et travaux diriges qui permettent de prendre en main des cas d'etude tres importants pour s'en sortir en entreprise ensuite
Materiaux (MAT),Management de projet
Sciences et Technologies de l'Eau (STE),Genie des procedes Hydraulique urbaine
Informatique et Gestion (IG),algorithme maths  projets individuels ou en groupe (web ou autre) BDD relationnelles
Informatique et Gestion (IG),Ce sont les differents projet. Ces projets ne peuvent fonctionner qu'avec une certaine dose de theorie
Sciences et Technologies de l'Eau (STE),Personnellement je travaille en hydraulique. Les enseignements de base en hydraulique et l'option specialisation en hydraulique avec des cours sur la modelisation ont ete tres utiles.
Sciences et Technologies de l'Eau (STE),Hydrologie  Hydraulique
Genie Biologique et Agroalimentaires (GBA),Genie des procedes Thermodynamiques Mecaniques des fluides 
Genie Biologique et Agroalimentaires (GBA),Sante et nutrition Formulation  Les matrices alimentaires  Packaging  Management de projet 
Materiaux (MAT),- Cours de caracterisation des materiaux (MASC)  - Cours sur les polymeres  - ACV ( a moindre mesure) 
Materiaux (MAT),Les enseignements relatifs aux materiaux MASC ACV Statistique Les enseignements informatiques : utilisation Excel Power Point ... Et surtout les cours de gestion de la production
Genie Biologique et Agroalimentaires (GBA),Ceux de :  Mme MARCHESSEAU Mme ESPI Mme CHEVALIER Syl BILLIARE 
Genie Biologique et Agroalimentaires (GBA),Nutrition matrice alimentaire process biochimie 
Genie Biologique et Agroalimentaires (GBA),/
Genie Biologique et Agroalimentaires (GBA),Les cours recus en derniere annee PROD par les intervenants exterieurs.
Genie Biologique et Agroalimentaires (GBA),La biologie 
Informatique et Gestion (IG),Les enseignements informatiques techniques
Genie Biologique et Agroalimentaires (GBA),enseignements de qualite procedes industriels alimentaires
Genie Biologique et Agroalimentaires (GBA),Management de projet procedes proteines matrices alimentaires 
Genie Biologique et Agroalimentaires (GBA),Le management la gestion de projet les langues l'informatique et les projets de groupe.
Genie Biologique et Agroalimentaires (GBA),Gestion de production 
Genie Biologique et Agroalimentaires (GBA),Formulation et ecoconception de produit Management de projet Genie des procedes et marketing 
Sciences et Technologies de l'Eau (STE),cours de gestion des entreprises travaux pratiques en microbiologie procedes et chimie cours de traitement des eaux 
Genie Biologique et Agroalimentaires (GBA),Tour les cours ont des qualites qui sont exploitables (de pres ou de loin) a ce monde du travail.
Materiaux (MAT),L'ensemble des matieres pour savoir ce qui m'interesse ou non sinon les stages et l'anglais qui preparait bien aux cv et lettres pour l'etranger.
Materiaux (MAT),Le partenariat de double diplome a l'etranger m'a permis de m'ouvrir la porte et de pouvoir y rester davantage pour debuter ma vie professionnelle  En ce qui concerne les enseignements etant dans un domaine axee textile je procede a la supervision de tests en laboratoire en accord avec les demandes clients donc tous les cours en rapport avec les tests physicochimiques mecaniques et les bases en chimie me sont utiles. Il me manque tout de meme des competences pratiques pas assez developpees lors du cursus scolaire en France et qui l'est davantage au Canada en comparaison.
Materiaux (MAT),La capacite de gerer le temps et proposer des solutions pour une bonne organisation et gestion d'un projet d'ingenierie.
Materiaux (MAT),Beton  management  
Materiaux (MAT),Les matieres sur les materiaux (bases techniques)
Informatique et Gestion (IG),Developpement web projet en groupe cours d'anglais pratique (autre que TOEIC)
Sciences et Technologies de l'Eau (STE),Peu d'enseignements a vrai dire. Mon metier se rapproche sans doute plus de la formation Eau et Genie Civil. Les notions de base en genie des procedes m'ont neanmoins ete utiles.
Informatique et Gestion (IG),hard skills: principe developpement logiciel conception oriente objet base algorithmie javascript typescript framework front (react/angular)  soft skill: curiosite motivation envie de challenge 
Informatique et Gestion (IG),Tous les enseignements techniques car ma specialisation concernant la cyber j'avais besoin de bases assez pointues
Informatique et Gestion (IG),developpement web l'anglais
Informatique et Gestion (IG),Les projets industriels 
Informatique et Gestion (IG),Anglais - projet concret 
Informatique et Gestion (IG),...
Sciences et Technologies de l'Eau (STE),Hydraulique en charge Dimensionnement / fonctionnement des procedes eau potable et assainissement SIG Excel
Informatique et Gestion (IG),statistiques algorithmique developpement les differents projets 
Informatique et Gestion (IG),Toutes les matieres concernant l'informatique Matieres financieres
Informatique et Gestion (IG),Matieres informatique Matieres financiere 
Informatique et Gestion (IG),Tout ce qui touche au developpement informatique le cote technique est vraiment important pour rester a jour 
Genie Biologique et Agroalimentaires (GBA),Les cours de specialisation en derniere annee : j'avais choisi QHSE et c'est aujourd'hui mon coeur de metier.
Mecanique et Interactions (MI),La resistance des materiaux la mecanique des milieux continus la conception mecanique la simulation numerique (methode des elements finis).
Sciences et Technologies de l'Eau (STE),Hydraulique urbaine Traitement de l'eau 
Genie Biologique et Agroalimentaires (GBA),Toute la formation est tres complete il est difficile de cibler des matieres en particulier. Toutefois les nombreux oraux les etudes de cas en entreprise et la gestion de projet sont de tres gros atouts pour pouvoir demarrer en entreprise. 
