formation,"quels enseignements, absents de votre formation, vous auraient ete utiles ?"
Genie Biologique et Agroalimentaires (GBA),ERP
Genie Biologique et Agroalimentaires (GBA),Creativite - comment innover ? 
Mecanique et Interactions (MI),L'ingenieur.e de demain se doit d'etre quelqu'un capable d'apporter des solutions de plus en plus durables. Il serait interessant d'integrer cette notion dans la formation. 
Systemes Embarques (SE - apprentissage),Elements finis
Genie Biologique et Agroalimentaires (GBA),Na
Mecanique et Interactions (MI),Grande deformtions appliquees a la simulation exemple : deformation de caoutchouc. Interpolation de loi materiaux complexes pour la simu.
Microelectronique Et Automatique (MEA),Pouvoir de decision
Eau et Genie Civil (EGC - apprentissage),Pour ce qui est de la gestion de budget d'equipe et de planning c'est zero au niveau de la formation si ce n'est quelques interventions... C'est bien dommage.
Eau et Genie Civil (EGC - apprentissage),fiscalite 
Eau et Genie Civil (EGC - apprentissage),gestion contractuelle.
Materiaux (MAT),-
Informatique et Gestion (IG),Des notions sur les technologies Terraform et Kubernetes
Eau et Genie Civil (EGC - apprentissage),/
Eau et Genie Civil (EGC - apprentissage),Negocier sa remuneration L'analyse de sondages geotechnique et l'approche pratique lie aux fondations points cles des projets de genie civil 
Mecanique Structures Industrielles (MSI - apprentissage),Les calculs selon les eurocodes
Informatique et Gestion (IG),Python
Eau et Genie Civil (EGC - apprentissage),Reutilisation des eaux usees traites (reglementation conception...)
Mecanique et Interactions (MI),Negociation Gestion de projets
Systemes Embarques (SE - apprentissage),RAS
Materiaux (MAT),Materiaux de la construction (autres que le beton).
Microelectronique Et Automatique (MEA),Management comptabilite  
Materiaux (MAT),CAO
Eau et Genie Civil (EGC - apprentissage),COURS AUTOCAD ou autre logiciel de dessin
Eau et Genie Civil (EGC - apprentissage),GC
Materiaux (MAT),avoir une dimension industrielle / production (genie industriel) 
Materiaux (MAT),Utilisation d'autres softwares de programmation (python). Utilisation et comprehension de comment trouver un bon article (et comment le lire).
Materiaux (MAT),Controle non-destructifs
Genie Biologique et Agroalimentaires (GBA),Un enseignement sur l'environnement : ecologie energies rechauffement climatique etc ..   Peut-etre creer une nouvelle matiere sur l'impact de nos futurs metiers (dans mon cas l'agroalimentaire) sur l'environnement ?
Systemes Embarques (SE - apprentissage),Etude des batteries/ stockage de l'energie 
Informatique et Gestion (IG),RAS
Microelectronique Et Automatique (MEA),Le developpement et la gestion de projet en accord avec les changements climatiques. Les notions de brevets. La notion de test produit. 
Materiaux (MAT),Droit des brevets Entrepreunariat Modelisation 3D Management Marketing
Genie Biologique et Agroalimentaires (GBA),Immersion en entreprise
Eau et Genie Civil (EGC - apprentissage),Gestion de cout 
Genie Biologique et Agroalimentaires (GBA),Droit du travail (entretien contrat droit)
Genie Biologique et Agroalimentaires (GBA),Savoir utiliser LinkedIn et comprendre son interet
Sciences et Technologies de l'Eau (STE),Tout ce qui touche au managerial : les competences ne sont pas assez poussees au cours de la formation. Certains projets s'y preteraient tres bien mais ce n'etait pas le cas durant mes annees.
Microelectronique Et Automatique (MEA),- En informatique : comprendre comment composer un code apprendre les design pattern et les methodes de modelisation UML plutot que d'apprendre le langage C++ directement - En electronique : avoir des cours de pratique sur  la reparation d'ancien materi
Genie Biologique et Agroalimentaires (GBA),Etendre les cours a d'autres domaines que l'alimentaire -> cosmetique  pharmaceutique  Augmenter les visites en industrie Favoriser les projets de groupe en collaboration avec des entreprises 
Microelectronique Et Automatique (MEA),Je pense que le plus gros manquement a notre formation c'est la mise en avant de l'open-source (autant pour le code/le hardware que pour les connaissances en general). Je pense que bien former les etudiants a savoir utiliser et partager des codes en OS et ce que cela implique pourrait etre une tres bonne chose.  Sinon : Lecture d'articles scientifiques. Logique scientifique plus globale. Prendre du recul sur ce que l'on fait. 
Mecanique et Interactions (MI),Management
Sciences et Technologies de l'Eau (STE),Reponses a des appels d'offres (AO/marches/collectivites...) Presentation des metiers connexes (MOE/MOA/GC/electricien...) 
Microelectronique Et Automatique (MEA),Interface H/M / 
Eau et Genie Civil (EGC - apprentissage),Creation d'entreprise  
Microelectronique Et Automatique (MEA),Utilisation de machine learning/ reseaux de neurones 
Microelectronique Et Automatique (MEA),Certains cours de crypto Operating systems Memoires Linux
Microelectronique Et Automatique (MEA),Des enseignements concrets
Microelectronique Et Automatique (MEA),Rien ne me vient a l'esprit actuellement.
Systemes Embarques (SE - apprentissage),Cyber securite Langage rust
Materiaux (MAT),Excel
Sciences et Technologies de l'Eau (STE),Modeliser avec un bon logiciel d'hydraulique 1d
Informatique et Gestion (IG),Des concepts autour de la veille technologique autour de la preparation aux tests techniques et une initiation a GitLab/JIRA plutot que GitHub (pour des points comme l'amelioration continue par exemple)
Genie Biologique et Agroalimentaires (GBA),Un cours sur la reglementation des complements alimentaires et les complements alimentaires en general. Cela est beaucoup recherche par les entreprises du secteur nutraceutique.
Sciences et Technologies de l'Eau (STE),Je trouve que les cours sur la gestion de l'eau arrivent trop tard (5eme annee). Ceux qui partent a l'etranger ne suivent pas donc pas ces cours. Je trouve un peu dommage de passer a cote de ca. 
Eau et Genie Civil (EGC - apprentissage),J'exerce un metier totalement different de ce pour quoi est fait la formation (Dispatcher a RTE). Je ne peux donc pas repondre de maniere pertinente.
Mecanique Structures Industrielles (MSI - apprentissage),-
Sciences et Technologies de l'Eau (STE),Ma prise de fonction etant toute recente c'est un peu tot pour repondre. Mais des cours un peu plus approfondis sur la presentation des differents ouvrages hydraulique auraient certainement ete un plus.
Genie Biologique et Agroalimentaires (GBA),Connaissances en immunologie
Microelectronique Et Automatique (MEA),Voir q67
Microelectronique Et Automatique (MEA),   
Informatique et Gestion (IG),Cyber-securite
Sciences et Technologies de l'Eau (STE),Utilisation de HEC-RAS utilisation d'Autocad
Informatique et Gestion (IG),DevOps Negociations du salaire  
Informatique et Gestion (IG),Relation client + reel gestion de projet dans sa globalite + analyse de besoin client tenue de workshop etc 
Informatique et Gestion (IG),Management
Informatique et Gestion (IG),Renforcer le module IA en 5eme annee pour ceux qui souhaiteraient s'orienter dans cette direction. La majorite des modules etaient oriente web 
Materiaux (MAT),Des enseignements plus industriels (ex : optimisation d'un procede evaluation des couts de mise en place d'un process d'elaboration de materiaux...) et des enseignements plus generaux sur le fonctionnement d'une entreprise et sur le role cle d'un ingenieur materiaux (interface avec les equipes qualite la supply chaine les equipes de tests la certification...).   Nous sommes bien formes pour des postes d'ingenieur R&D mais pour des postes tournes vers la production des connaissances plus 'industrielles' manques un peu. 
Microelectronique Et Automatique (MEA),Architecture de programmation objet
Sciences et Technologies de l'Eau (STE),Traitements et valorisation des boues d'epurations  Electromecanique 
Mecanique et Interactions (MI),Conception mecanique (chaine de cotes choix de conception) Machine speciale 
Microelectronique Et Automatique (MEA),Introduction a Linux et Git
Microelectronique Et Automatique (MEA),cybersecurite IA et plus d'embarque
Mecanique et Interactions (MI),Programmation en langage C
Mecanique et Interactions (MI),Connaissances des normes de conception / Gestion de projet 
Mecanique Structures Industrielles (MSI - apprentissage),Espagnol 
Microelectronique Et Automatique (MEA),Enseignements lie a l'ecologie (eco-conception...) La sensibilisation a des normes technologiques
Microelectronique Et Automatique (MEA),Programmation Python et C#
Microelectronique Et Automatique (MEA),RAS
Systemes Embarques (SE - apprentissage),Redaction de documentation technique et / ou industrielle (dossier de justification document d'industrialisation...) Mecanique/ CAO (3D dans le style solidworks)  Plus de projets pluridisciplinaires pour apprendre a mieux utiliser nos competences  Mais vu deja la quantite de modules et les contraintes de plannings de l'apprentissage je ne sais pas si c'est le mieux 
Eau et Genie Civil (EGC - apprentissage),suivi financier / Comptabilite et Gestion financiere
Eau et Genie Civil (EGC - apprentissage),ne sait pas
Mecanique et Interactions (MI),Gestion de projet
Mecanique et Interactions (MI),La lecture / redaction de diagrammes type P&ID.
Microelectronique Et Automatique (MEA),Securite numerique 
Microelectronique Et Automatique (MEA),Rajouter un aspect DDRS au sein de la formation
Systemes Embarques (SE - apprentissage),Un cours qui permettrait de se rendre compte du prix que coutent les choses. Prix des materiaux de la mains d'&oeliguvre etc... Etablir un budget. a chaque fois que nous faisions de la gestion de projet ces sujets etaient abordes a la louche et il etait tres difficile de se rendre compte du prix des choses.
Mecanique et Interactions (MI),qualite en entreprise (procedures formulaires non conformites reclamations...) controle qualite des produits (instruments de mesure...) avec une application de l'echantillonage
Mecanique et Interactions (MI),Rien en particulier nous sommes bien armes !  Je suis un peu biaise mais je pense qu'un cours de biomecanique ou directement de mecanique en sante serait tres interessant ! 
Microelectronique Et Automatique (MEA),Scripts en bash
Microelectronique Et Automatique (MEA),jsp
Sciences et Technologies de l'Eau (STE),Documents reglementaires DLE...
Microelectronique Et Automatique (MEA),Cours programmation sur robot rencontres en industrie (ABB Fanuc KUKA) Modelisation 3D (Solidworks) Logiciels CAO
Microelectronique Et Automatique (MEA),des enseignements specialises dans la microelectroniques sur les etapes de conceptions : placement/routage synthese analyse de timing design d'IP etc...
Genie Biologique et Agroalimentaires (GBA),La gestion de crise retour produit etc.
Systemes Embarques (SE - apprentissage),RH
Microelectronique Et Automatique (MEA),Intelligence artificielle : etudes des modeles de vision langage naturel et apprentissage par renforcement serait un tres gros plus dans la spe rob 
Mecanique Structures Industrielles (MSI - apprentissage),-
Mecanique Structures Industrielles (MSI - apprentissage),Ne sais pas
Mecanique Structures Industrielles (MSI - apprentissage),-
Mecanique Structures Industrielles (MSI - apprentissage),L'aspect fonctionnel d'une entreprise 
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Mecanique Structures Industrielles (MSI - apprentissage),Creation reprise d'entreprise : choix statuts juridiques impots fiscalite etc...
Systemes Embarques (SE - apprentissage),Pq pas motiver les etudiants (bonus de point?) a participer a la vie de l'universite : integrations dans des asso
Materiaux (MAT),Geologie
Systemes Embarques (SE - apprentissage),Management !! Les procedes d'industrialisation 
Microelectronique Et Automatique (MEA),Initiation IA 
Informatique et Gestion (IG),Ergonomie design web
Materiaux (MAT),Plus de sensibilisation aux enjeux environnementaux 
Materiaux (MAT),ethique comprehension des enjeux climatiques psychologie
Materiaux (MAT),Lire des fiches de paie
Sciences et Technologies de l'Eau (STE),Utilisation de logiciels utilises en entreprise (Arcgis Epanet...)
Systemes Embarques (SE - apprentissage),+ d'electronique analogique
Eau et Genie Civil (EGC - apprentissage),Management  Dessin technique de pose de reseaux  Comptabilite 
Sciences et Technologies de l'Eau (STE),PARTIE REGLEMENTAIRE LES PHASES D'UN CHANTIER FORMATION SUR LE LOGICIEL AUTOCAD POUR FAIRE LES PLANS 
Materiaux (MAT),Calcul beton arme decouverte/initiation aux eurocodes norme de construction 
Materiaux (MAT),Peut-etre un petit peu plus de process ou de production pour connaitre la realite des entreprises et de leurs fonctionnement 
Sciences et Technologies de l'Eau (STE),Droit des marches Commerce
Sciences et Technologies de l'Eau (STE),la cartographie (c'etait au programme mais je juge l'enseignement de la matiere baclee bien que tres interessante et tres facilement abordable)
Sciences et Technologies de l'Eau (STE),Hec ras
Genie Biologique et Agroalimentaires (GBA),/
Sciences et Technologies de l'Eau (STE),Un module modelisation numerique avec applications sur etudes concretes
Sciences et Technologies de l'Eau (STE),Une introduction aux bases du genie civil serait un plus.
Materiaux (MAT),Modelisation 3D. Des enseignements specifiques au secteur aeronautique (mais ce n'est pas l'interet d'une formation materiaux).
Informatique et Gestion (IG),La communication dans une equipe et les techniques de management 
Mecanique Structures Industrielles (MSI - apprentissage),creation d'entreprise
Mecanique Structures Industrielles (MSI - apprentissage),/
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Mecanique Structures Industrielles (MSI - apprentissage),Cours sur le fonctionnement des centrales nucleaires 
Mecanique Structures Industrielles (MSI - apprentissage),Chiffrage de projet
Eau et Genie Civil (EGC - apprentissage),Il manque des enseignements lies a la relation humaine et le management d'une equipe ainsi que de l'aspect financier qui est trop peu mis en avant lors de la formation mais qui est le point principal de notre metier.
Genie Biologique et Agroalimentaires (GBA),Un enseignement du type vie professionnelle : Apprendre a lire une fiche de paie mieux connaitre nos droit apprendre a comprendre et exploiter la convention syntec apprendre a negocier son salaire et savoir s'imposer au travail etc
Genie Biologique et Agroalimentaires (GBA),Les techniques de management car nous sommes confrontes a equipes et il faut avoir des bases en management
Genie Biologique et Agroalimentaires (GBA),Outils d'amelioration continue 
Sciences et Technologies de l'Eau (STE),Les marches publiques
Sciences et Technologies de l'Eau (STE),Geographie Programmation sous Python
Sciences et Technologies de l'Eau (STE),geotechnique
Sciences et Technologies de l'Eau (STE),Legislation et reglementation sur l'eau communication avec les clients
Materiaux (MAT),Outils de management de projet DAO
Informatique et Gestion (IG),RSE et ethique de developpement
Sciences et Technologies de l'Eau (STE),- Des cours ou sensibilisations a la reglementation - Hydromorphologie 
Sciences et Technologies de l'Eau (STE),Dans mon cas il m'aurait ete utile d'avoir des enseignements sur les ouvrages pour avoir des notions de base lors de mon stage
Sciences et Technologies de l'Eau (STE),Un apprentissage plus approfondi des reseaux d'eau urbains
Genie Biologique et Agroalimentaires (GBA),Methode de management 
Materiaux (MAT),- Cours sur la formulation materiaux (surtout les notions de melange phr AHEW les methodes de melange...) - Des TPs sur la caracterisation des materiaux (Covid oblige pas pu en avoir mais au moins des projets ou les etudiants peuvent manipuler eux m
Materiaux (MAT),Dessin industriel lecture de plan... Formation sur les process industriels Outils qualite : AMDEC 8D... et tous  Du temps sur le terrain : visites d'usines projets en lien direct avec des entreprises...
Genie Biologique et Agroalimentaires (GBA),la conduite de projet concret
Genie Biologique et Agroalimentaires (GBA),Management 
Genie Biologique et Agroalimentaires (GBA),/
Genie Biologique et Agroalimentaires (GBA),Management d'equipes 
Genie Biologique et Agroalimentaires (GBA),Plus de biologie (biologie moleculaire cellulaire)
Informatique et Gestion (IG),DevOps
Genie Biologique et Agroalimentaires (GBA),Management
Genie Biologique et Agroalimentaires (GBA),Entrepreneuriat comptabilite et finance et financement de l'innovation
Genie Biologique et Agroalimentaires (GBA),Communication
Sciences et Technologies de l'Eau (STE),cours techniques sur la plomberie l'electricite et le genie civil ou meme sur la festion et l'organisation d'un chantier 
Genie Biologique et Agroalimentaires (GBA),Davantage de gestion de projet / management 
Materiaux (MAT),Expliquer les differents types d'emplois ou d'industries et notamment le principe des societes de conseil et autres types de travail dans lesquels nous pouvons travailler. 
Materiaux (MAT),Un vrai regret que l'option packaging ou polymeres biosourcee soit donnee en 5iemr annee car en etant partie a l'etranger je n'ai pas pu avoir acces a ses specialites qui m'auraient grandement interessees
Materiaux (MAT),Pas de reponse.
Materiaux (MAT),materiaux de constructions/ geologie/ management carriere
Materiaux (MAT),Cao
Sciences et Technologies de l'Eau (STE),Des enseignements relatifs aux details d'une station de traitement d'eaux.  En effet j'ai du apprendre beaucoup de choses concernant les conduites la  robinetterie l'instrumentation etc et j'ai donc eu du mal a me lancer sereinement dans mon metier. Quelques cours de notions de base ou alors un intervenant qui soit dans la maitrise d'Oeuvre ou dans la construction traitant par exemple les types de vannes principales rencontrees dans une station de traitement un apercu plus precis de l'interieur d'une station avec les conduites rencontrees etc.
Informatique et Gestion (IG),langage typescript pour le web dans la formation nous n'avons que survole ce language  devops integration continue tests
Informatique et Gestion (IG),De la cybersecurite 
Informatique et Gestion (IG),...
Sciences et Technologies de l'Eau (STE),Culture technique sur les accessoires de reseaux (technologie de vanne - stabilisateurs pompes type de roue etc.)  Une approche en electrotechnique (procedes de communication et de rapatriement de donnees automates) 
Informatique et Gestion (IG),Securite
Informatique et Gestion (IG),Securite 
Informatique et Gestion (IG),Cours de securite 
Genie Biologique et Agroalimentaires (GBA),La communication interne : en vers les collaborateurs et la hierarchie.
Mecanique et Interactions (MI),Un cours sur les normes de dimensionnement m'aurait ete utile (Eurocodes RCC-M etc). Je suis conscient que c'est specifique a mon metier actuel mais en feuilleter quelques une dans le cadre d'un projet par exemple m'aurait ete utile.
Sciences et Technologies de l'Eau (STE),Genie civil  Electricite et automatisme  Metrologie hors riviere 
Genie Biologique et Agroalimentaires (GBA),Aucun la formation est tres bien. 
Genie Biologique et Agroalimentaires (GBA),RGPD et methodologies qualite  
Mecanique et Interactions (MI),Methodes d'apprentissage statistiques. 
Informatique et Gestion (IG),Networking distributed systems. Operating Systems. I took these classes at my uni in Brazil and use their contents almost every day at work.  Something that is not necessarily useful for the day-to-day life but that helped me a lot was a Programming Challenges class I took at my Brazilian university. It makes coding interviews a lot easier. It is not a mandatory class of course - I think Polytech could benefit a lot by letting students choose which classes they want to take.
Microelectronique Et Automatique (MEA),methodes de tests et validation des differents types de projets (schema code)
Materiaux (MAT),L'insertion Professionnelle (le cours existe mais les conseils dispenses ne fonctionnent absolument pas)
Systemes Embarques (SE - apprentissage),Un peu d'IOT.
Genie Biologique et Agroalimentaires (GBA),Management d'equipe creation de planning...
Microelectronique Et Automatique (MEA),Formation python  Formation Linux 
Microelectronique Et Automatique (MEA),Pas de mention particuliere
Eau et Genie Civil (EGC - apprentissage),SIG
Genie Biologique et Agroalimentaires (GBA),Le management 
Informatique et Gestion (IG),Accessibilite du web
Informatique et Gestion (IG),Machine learning Engineering MLops.
Informatique et Gestion (IG),Des enseignements plus theoriques sur qu'est-ce que le Product management. Car c'est assez different de juste etre 'Product owner' il y a une vraie culture produit a l'etranger (un peu moins en France) mais ca aurait ete vraiment interessant d'avoir ces cours en ecole pour ne pas a l'apprendre sur le tas. Peut-etre des cours de negociations pour savoir negocier un contrat un salaire etc... et nous sensibiliser a tout ce qui est CSE d'entreprise.
Genie Biologique et Agroalimentaires (GBA),Aucun
Mecanique et Interactions (MI),- Avoir un projet seul avant la 5eme annee  - DEM 
Eau et Genie Civil (EGC - apprentissage),Cours techniques de chantier de gestion de chantier de planning & budgets.
Microelectronique Et Automatique (MEA),Intelligence artificielle 
Informatique et Gestion (IG),Introduction au developpement de jeux videos (ex Unity)
Sciences et Technologies de l'Eau (STE),Le SIG des cours techniques sur les accessoires d'un reseau (compteurs vannes reducteurs de pression pompes)
Mecanique et Interactions (MI),La gestion des ressources dans un projet l'anticipation des commandes...
Sciences et Technologies de l'Eau (STE),comptabilite
Genie Biologique et Agroalimentaires (GBA),Le developpement personnel 
Mecanique et Interactions (MI),Developpement durable economie circulaire cycle de vie
Sciences et Technologies de l'Eau (STE),Methodes de pose de reseau de recherche de fuites ...etc
Mecanique et Interactions (MI),Outils propres a l'entreprise (Python) Projet d'ingenierie complet en rapport avec la filiere : developper une idee budget planning ingenierie production test ... 
Materiaux (MAT),RAS
Materiaux (MAT),CAO ( pas seulement 10 h qui ne permettent pas d'apprendre mais plutot 50 )
Materiaux (MAT),Energies renouvelables
Mecanique et Interactions (MI),science experimentales
Materiaux (MAT),Communication Ressources Humaines Bonnes pratiques en entreprise  Maitrise de outils...
Systemes Embarques (SE - apprentissage),Bases de l'IA
Materiaux (MAT),Une formation au logiciel autocad
Microelectronique Et Automatique (MEA),- Gestion des affaires et la dimension economique et qualite d'un projet  - Intelligence artificielle 
Microelectronique Et Automatique (MEA),Mathematiques fondamentales et appliquees Linux et Git.
Microelectronique Et Automatique (MEA),Radiofrequence 
Eau et Genie Civil (EGC - apprentissage),Techniques de construction
Genie Biologique et Agroalimentaires (GBA),Formulation de produit agroalimentaire
Microelectronique Et Automatique (MEA),Linux IA SysML Python 
Genie Biologique et Agroalimentaires (GBA),Management  
Materiaux (MAT),Energies
Eau et Genie Civil (EGC - apprentissage),SIG
Materiaux (MAT),du genie civil (etude) 
Microelectronique Et Automatique (MEA),Introduction a linux cyber securite Internet Of Things (IoT) Intelligence artificielle
Sciences et Technologies de l'Eau (STE),Initiation au logiciel de design (AutoCAD) pour la creation d'infrastructures de collecte des eaux meteorologiques usees... 
Eau et Genie Civil (EGC - apprentissage),Cours d'electricite 
Sciences et Technologies de l'Eau (STE),Comptabilite 
Informatique et Gestion (IG),Comment ecrire du bon code (concis mais explicite) Faire la difference entre les projets d'ecole et la vraie vie: - tests - priorisation - deploiement
Sciences et Technologies de l'Eau (STE),HYDROGEOLOGIE HYDROMORPHOLOGIE SITES ET SOLS POLLUES
Materiaux (MAT),Usinage (fraiseuse par exemple) CFAO instrumentation (capteurs et actionneurs) et mesure de champs.
Materiaux (MAT),Marketing
Sciences et Technologies de l'Eau (STE),Oceanographie/littoraux/maritimes
Microelectronique Et Automatique (MEA),Manque cruellement d'apprentissage en linux embarque. Faire un peu de machine learning serait un gros plus.
Materiaux (MAT),Approche du monde de la production (genie du procede) visites d'unites de production (pour apprehender la realite du terrain et mieux comprendre les enjeux du metier)
Sciences et Technologies de l'Eau (STE),La gestion d'entreprise le commercial
Microelectronique Et Automatique (MEA),Un apprentissage des methodes de travail (methode agile cycle en V etc)
Microelectronique Et Automatique (MEA),Utiliser des pc Linux et non Windows (personne ou presque utilise Windows en entreprise) Ajouter des tp qui montre se qu'il se passe entre la partie elec et informatique (fetch de donne archi des composant predicateur assembler) on a vu avec pascal benoit architecture des composants sans faire de tp dessus. On est passer de fpga a programmation en c sur bootloader sans comprendre la transition entre les deux
Mecanique Structures Industrielles (MSI - apprentissage),Relation clientele / relation Sous-traitants 
Mecanique et Interactions (MI),Industrialisation / Logistique 
Mecanique et Interactions (MI),Gestion de projet
Sciences et Technologies de l'Eau (STE),Cours sur l'energie les materiaux et leur utilisation presente et future. Plus d'intervenants du monde des bureaux d'etudes et du secteur public pour presenter leur travail de facon non corporate.
Informatique et Gestion (IG),Devops
Microelectronique Et Automatique (MEA),les enjeux environnementaux
Materiaux (MAT),J'aurais pense a une matiere du type: Technique de laboratoire qui aurait pu nous apprendre la base du fonctionnement des outils du laboratoire. Qui aurait permis d'apprendre plus de choses sur le tas plutot que de voir des machines 'en theorie' sans jamais les avoir touches.
Materiaux (MAT),Energies renouvelables 
Sciences et Technologies de l'Eau (STE),Ingenierie et ecologie en milieu marin  Ecriture scientifique  Montage d'un projet et candidatures doctorales 
Systemes Embarques (SE - apprentissage),La methode pour choisir des composants (choix des seuils des caracteristiques ...)
Sciences et Technologies de l'Eau (STE),Marche publics  Autocad Comptabilite 
Materiaux (MAT),Formation technique
Sciences et Technologies de l'Eau (STE),Suivis de chantier 
Sciences et Technologies de l'Eau (STE),programmer une visite d'usine d'eau potable/chateau d'eau/surpresseur pourrait etre utile plutot que de visiter 4 STEP.
Mecanique Structures Industrielles (MSI - apprentissage),CAO note de calcul
Materiaux (MAT),- 
Microelectronique Et Automatique (MEA),Linux embarque 
Materiaux (MAT),Logiciels de management (ex: MS Project)
Mecanique Structures Industrielles (MSI - apprentissage),Cours d'employabilite
Genie Biologique et Agroalimentaires (GBA),Marketing
Eau et Genie Civil (EGC - apprentissage),Du management une langue secondaire. 
Eau et Genie Civil (EGC - apprentissage),Charpentes metalliques 
Materiaux (MAT),Des cours sur l'utilisation d'Excel (Tableau croise dynamique par exemple) 
Microelectronique Et Automatique (MEA),Gestion de projet redaction de documentation projet 
Mecanique et Interactions (MI),Je pense que la formation manque d'un enseignement permettant a l'eleve de se situer dans la multitude d'outils et situations que peut presenter la mecanique. J'imagine une sorte de carte permettant a l'eleve de comprendre dans quelle branche il se situe quels problemes il va pouvoir resoudre avec ca et avec quels outils. (Pourquoi pas l'utiliser a chaque introduction d'un nouveau cours pour bien rappeler le cadre et meme l'utiliser dans les matieres mathematiques pour expliquer a quel moment on les utilise avec la mecanique) Cela permettrait a l'eleve ingenieur de choisir plus facilement les bonnes competences pour resoudre ses problemes.  Egalement je pense qu'une experience de TP usinage (ou meme chaudronnerie/montage) un peu plus poussee peut etre benefique : un ingenieur MI qui arrive dans une entreprise qui possede des ateliers d'usinage/montage/chaudronnerie n'aura que peu d'experience pratique dans ces domaines.
Sciences et Technologies de l'Eau (STE),Developpement durable Management
Sciences et Technologies de l'Eau (STE),Botanique : diagnostic floristique
Materiaux (MAT),gestion des papiers importants 
