formation,"parmi les enseignements fournis par l'ecole, quels sont ceux qui meriteraient d'etre approfondis ou renforces ?"
Systemes Embarques (SE - apprentissage),C++ maths
Informatique et Gestion (IG),RAS
Systemes Embarques (SE - apprentissage),les aspect systemes. l'architecture logiciel est trop peut aborder et constitue un enjeux majeur dans les domaines aeronautique et special. les notions de normes et de criticite ainsi que le suivit d'un reelle projet en Cycle en V me parait obligatoire. AU vu des derniere 'croyance' aborde l'agilite peut egalement etre un plus. 
Microelectronique Et Automatique (MEA),L'utilisation de differents logiciels (CAO schema de cablage routage de PCB ou tout autre logiciel de simulation) 
Materiaux (MAT),Droit des brevets Travaux de groupes Travaux Pratiques RDM
Genie Biologique et Agroalimentaires (GBA),Le management  L'autonomie 
Genie Biologique et Agroalimentaires (GBA),Demarche projet et les enseignements de specialisation de 5eme annee
Genie Biologique et Agroalimentaires (GBA),Environnement Management 
Genie Biologique et Agroalimentaires (GBA),Venant d'un DUT Genie chimique Genie des Procedes avant l'ecole je n'avais plus fait de  biologie  depuis le lycee. J'ai trouve que la mise a niveau etait extremement light et j'en ai garde des traces jusqu'a la fin de l'ecole (beaucoup de bases manquantes car on a tout appris tres vite en debut d'annee et les mises a niveau parfois etaient pas hyper bien/ pas assez expliquees). Donc pour moi c'est surtout ca qui a ete complique.
Genie Biologique et Agroalimentaires (GBA),RSE Economie circulaire Bilan carbone ACV
Sciences et Technologies de l'Eau (STE),Les cours de communications et les projets en general meriteraient d'aborder un peu plus les caracteristiques manageriales forte utiles dans mon domaine (gestion du personnel gestion des difficultes relationnelles...).
Genie Biologique et Agroalimentaires (GBA),Developpement durable/environnement 
Microelectronique Et Automatique (MEA),Pour moi si je devais fournir une critique ce serait plutot d'approfondir les explications sur l'interet concret de ce qui est enseigne. Ce n'est pas (a mon sens) la mission de l'ecole de fournir un enseignement trop approfondi mais de donner des bases que l'etudiant approfondira ensuite. Je trouve les matieres avec le recul bien choisies. Mais si a l'epoque j'avais mieux compris l'interet de certaines choses (les logiques/paradigmes de programmation ou la programmation bas niveau par exemple) peut-etre que j'aurais mieux suivis et compris leurs enseignements. Et sinon approfondir un peu les TP pour que par exemple le produit final soit un template que l'etudiant puisse reutiliser dans ses projets (template de connexion de systeme en reseau template de simulation robotique) => l'etudiant se construit sa propre boite a outil plutot que de faire des TP qui ne sont plus reutilises ensuite.
Mecanique et Interactions (MI),Gestion de projet
Genie Biologique et Agroalimentaires (GBA),Management  HACCP savoir mettre en place un plan HACCP  
Sciences et Technologies de l'Eau (STE),Logiciels de calculs et de modelisations Plus de cas concrets et plus de terrain 
Microelectronique Et Automatique (MEA),STM / Electronique / robotique 
Eau et Genie Civil (EGC - apprentissage),Genie civil Entreprenariat Gestion de projet Environnement 
Microelectronique Et Automatique (MEA),Programmation objet 
Microelectronique Et Automatique (MEA),Protocoles i2c spi etc.  Developpement fpga Crypto Architecture des processeurs Anglais
Microelectronique Et Automatique (MEA),Electronique programmation objet.
Systemes Embarques (SE - apprentissage),Ne sais pas
Systemes Embarques (SE - apprentissage),Eveil a la securite de l'informatique embarquee
Materiaux (MAT),..
Sciences et Technologies de l'Eau (STE),LV2 
Informatique et Gestion (IG),Rentrer plus en profondeur dans les sujets d'IA  Point particulier : Faire 2 ou 3 spes en 5A une en IA une en gestion de projet/methodes agiles et une en Web
Eau et Genie Civil (EGC - apprentissage),Tous les enseignements qui concernent le genie civil ! C'est largement survole. a ce jour je ne me sens pas capable de travailler dans ce domaine  
Sciences et Technologies de l'Eau (STE),Il y a un vrai probleme au niveau de la  communication sur les stages. Le suivi les explications....  Il n'avait pas ete explique qu'on devait obligatoirement faire un stage en entreprise (ex: parc nationaux OFB service public non pris en compte pour le stage de fin d'etudes). Hors en environnement beaucoup de stages sont dans le public! La definition d'une entreprise n'avait pas ete clair! Meme questionnement pour les stages a l'etranger. Les informations sont arrives trop tardivement egalement. Les supports d'informations des stages ne sont pas a jours egalement! Communication egalement manquante entre les enseignants (point de vu de la fonction de deleguee).
Eau et Genie Civil (EGC - apprentissage),Planification de chantier Methodes (ce qui est relatif au chantier en general)
Mecanique Structures Industrielles (MSI - apprentissage),Management strategie
Sciences et Technologies de l'Eau (STE),.
Mecanique et Interactions (MI),L'anglais
Genie Biologique et Agroalimentaires (GBA),Biologie
Microelectronique Et Automatique (MEA),Surement pas les cours de communications qui sont etonnamment inutile
Mecanique et Interactions (MI),Les cours en informatique simulation numerique parallelisation avec des projets concrets
Microelectronique Et Automatique (MEA),   
Informatique et Gestion (IG),Data science (AI) Devops Cryptographie Communication
Sciences et Technologies de l'Eau (STE),Mise en pratique sur logiciels
Informatique et Gestion (IG),Toute la partie gestion de projet (une specialisation en 4eme ou 5eme annee par exemple pour les personnes ne voulant pas faire du dev plus tard.
Informatique et Gestion (IG),Algorithme -> pas seulement sur 2 mois mais chaque annees Management 
Materiaux (MAT),Le cours de management de projet.  Un projet concret sur cet enseignement permettrait de mettre en pratique ce cours.  Par exemple la changement de traitement thermique d'une piece sur une chaine de production (pour des raisons de couts par exemple) : etude de la situation actuelle elaboration du diagramme de gantt definition du cahier des charges proposition d'une solution planification d'une phase de test tests analyse des resultats mise en place ou pas de la solution testee...  C'est une demarche que j'ai eu a mettre en place en alternance en tant qu'ingenieur materiaux et procedes et je retrouve cette facon de gerer un projet dans mon metier actuel. 
Microelectronique Et Automatique (MEA),Electronique
Microelectronique Et Automatique (MEA),PCB  Electronique  Information embarquee temps reel
Sciences et Technologies de l'Eau (STE),VBA-Excel 
Mecanique et Interactions (MI),Biomedical
Microelectronique Et Automatique (MEA),Systemes embarques Reseau
Microelectronique Et Automatique (MEA),microelec
Mecanique et Interactions (MI),Aucun pour moi les enseignements sont complets
Mecanique et Interactions (MI),Calculs de structures / CAO / 
Mecanique Structures Industrielles (MSI - apprentissage),La mecanique theorique 
Microelectronique Et Automatique (MEA),Preparation aux entretiens et plus de contact avec les entreprises 
Microelectronique Et Automatique (MEA),Le management 
Microelectronique Et Automatique (MEA),le theme de l'IOT
Mecanique Structures Industrielles (MSI - apprentissage),Gestion d'entreprise RH etc
Mecanique Structures Industrielles (MSI - apprentissage),Anglais 
Microelectronique Et Automatique (MEA),Les normes automobile et aeronautique Git Devops
Systemes Embarques (SE - apprentissage),Cote technique : Uml poo sql Cao pcb coder proprement Resau locaux industriels  Cote humain : Le droit du travail : comment deceler une situation anormale  Sante au travail (physique et mentale) 
Eau et Genie Civil (EGC - apprentissage),Management  suivi financier  
Eau et Genie Civil (EGC - apprentissage),Dans l'ensemble j'aurai aime etudier des procedes plus ecologique et innovant.
Mecanique et Interactions (MI),Conception mecanique
Mecanique et Interactions (MI),Plus de projets concrets avec de la fabrication de produit.
Systemes Embarques (SE - apprentissage),Creation d'entreprise Gestion d'entreprise 
Mecanique Structures Industrielles (MSI - apprentissage),Nucleaire/gestion d'affaire 
Microelectronique Et Automatique (MEA),Reseaux
Microelectronique Et Automatique (MEA),Rajouter un aspect DDRS au sein de la formation
Mecanique et Interactions (MI),dessin technique
Mecanique et Interactions (MI),Je n'en ai pas en tete particulierement. Mais je pense que l'organisation globale peut etre meilleure.
Microelectronique Et Automatique (MEA),Git et Linux Creation et maintenance de documentation
Microelectronique Et Automatique (MEA),Systemes embarques
Microelectronique Et Automatique (MEA),Linux gitlab python
Microelectronique Et Automatique (MEA),le python / poo
Mecanique Structures Industrielles (MSI - apprentissage),Gestion de projet Management
Sciences et Technologies de l'Eau (STE),Hydraulique Gestion de projet genie des procedes
Microelectronique Et Automatique (MEA),Cyber securite  Robotique (trajectoires) Reseau 
Microelectronique Et Automatique (MEA),Cela ne concerne que ceux souhaitant poursuivre dans la microelectronique mais les enseignements de specialisation en microelectronique en general ainsi que les langages de modelisation materiel (vhdl) devraient etre approfondis mais egalement l'apprentissage du python les cours de reseau.
Genie Biologique et Agroalimentaires (GBA),Tout ce qui est autour de la RSE : analyse du cycle de vie eco-concetion valorisation des dechets etc
Systemes Embarques (SE - apprentissage),Outils informatiques de bases : Excel Project....
Microelectronique Et Automatique (MEA),Aucun ne me viens en tete mais de maniere generale ce serait bien d'avoir plus de corrections et d'exemples de cas d'etude dans les matieres enseignees 
Mecanique Structures Industrielles (MSI - apprentissage),Management 
Mecanique Structures Industrielles (MSI - apprentissage),Gestion financiere
Mecanique Structures Industrielles (MSI - apprentissage),-
Mecanique Structures Industrielles (MSI - apprentissage),L'aspect fonctionnel d'une entreprise 
Systemes Embarques (SE - apprentissage),Management  Un peu de cours sur la RH 
Mecanique Structures Industrielles (MSI - apprentissage),Soudage  Management 
Mecanique Structures Industrielles (MSI - apprentissage),Certaines matieres technique propre au metier tel que l'atelier ou bien les tuyauteries (iso etc)
Systemes Embarques (SE - apprentissage),Reseau et Telecommunication Mathematiques
Microelectronique Et Automatique (MEA),Gestion d'entreprise
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Systemes Embarques (SE - apprentissage),CAO / PCB : Peut etre un projet complet avec impression de pcb soudure et test ? Faire de l'UML avant la POO
Microelectronique Et Automatique (MEA),Informatique 
Systemes Embarques (SE - apprentissage),Design de PCB (et pas sur Cadence)
Informatique et Gestion (IG),Architecture de systeme d'information
Materiaux (MAT),Analyse de Cycle de vie (dispo pour intervention
Materiaux (MAT),Ecoconception
Materiaux (MAT),Durabilite de Verres et Ceramiques Durabilite de Metaux
Sciences et Technologies de l'Eau (STE),/
Systemes Embarques (SE - apprentissage),POO/UML
Sciences et Technologies de l'Eau (STE),Hydraulique des reseaux procedes de traitement logiciels de modelisation (hydraulique hydrologie procedes de traitement) SIG
Eau et Genie Civil (EGC - apprentissage),Construction  Organisation de chantier  Gestion des marches publics / prives 
Materiaux (MAT),ACV Conception mecanique  Plans d'experiences etudier la methode de taguchi qui est tres utilise en entreprise 
Sciences et Technologies de l'Eau (STE),LA COMM
Materiaux (MAT),RDM 
Materiaux (MAT),L'analyse de cycle de vie 
Sciences et Technologies de l'Eau (STE),Commerce
Materiaux (MAT),Gestion de projets 
Materiaux (MAT),Les enseignements lies au monde de l'entreprise (droit comptabilite management...)
Sciences et Technologies de l'Eau (STE),La cartographie
Sciences et Technologies de l'Eau (STE),Qgis Pcswmm
Informatique et Gestion (IG),Data science il faudrait que les cours soient plus attrayants car c'est une discipline que j'ai decouverte apres l'ecole et qui est superbe.
Genie Biologique et Agroalimentaires (GBA),/
Sciences et Technologies de l'Eau (STE),Langage de programmation : apprentissage applique de langage utilise en activite professionnelle (privee ou publique) comme python C++ plutot que VBA (interessant mais peu utilise) Modelisation hydraulique : Etre forme sur des logiciels reconnus en BE comme Telemac (gratuit et open source) HEC-RAS (gratuit) notamment dans le cadre de la specialite hydraulique  Mettre l'accent sur le systeme d'information geographique (QGIS par exemple)
Sciences et Technologies de l'Eau (STE),Hydrologie avec une partie gestion des inondations
Materiaux (MAT),Etude de la corrosion des differents types de defauts que l'ont peut rencontrer dans les differents types de materiaux. Modelisation et simulation numerique pour la specialisation mecanique.
Mecanique Structures Industrielles (MSI - apprentissage),TP soudage appentissage des normes et codes de construction
Informatique et Gestion (IG),L'algo les projets
Informatique et Gestion (IG),Web
Mecanique Structures Industrielles (MSI - apprentissage),maths metallurgie  materiaux  chimie
Mecanique Structures Industrielles (MSI - apprentissage),Soudage Travail sur les normes 
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Mecanique Structures Industrielles (MSI - apprentissage),La communication L'energie (nous avons eu des conferences mais quelques cours sur le theme de l'energie afin de donner des notions et ordres de grandeur)
Mecanique Structures Industrielles (MSI - apprentissage),Soudage Chaudronnerie 
Mecanique Structures Industrielles (MSI - apprentissage),Bureau d'etudes
Materiaux (MAT),Gestion de projet
Eau et Genie Civil (EGC - apprentissage),Au vu du metier que j'exerce j'aurai voulu developper les metiers lies a la construction.
Genie Biologique et Agroalimentaires (GBA),Droit du travail 
Informatique et Gestion (IG),Les cours qui porte plus sur l'analyse et redaction de document en amont du developpement (redaction de Specifications fonctionnelle/techniques detaillees)
Genie Biologique et Agroalimentaires (GBA),Ras
Genie Biologique et Agroalimentaires (GBA),Management communication
Sciences et Technologies de l'Eau (STE),La reglementation dans le domaine de l'environnement (DLE Cas par Cas). L'utilisation du logiciel QGIS.
Genie Biologique et Agroalimentaires (GBA),Management
Genie Biologique et Agroalimentaires (GBA),Insertion professionnelle 
Sciences et Technologies de l'Eau (STE),NSP
Sciences et Technologies de l'Eau (STE),Geologie programmation sous R
Sciences et Technologies de l'Eau (STE),notions genie civil maitrise d'oeuvre
Sciences et Technologies de l'Eau (STE),faire plus de cas d'etudes pratique que de theorique plus de maitrise des logiciels techniques utilises en entreprise car cela joue beaucoup a l'embauche 
Materiaux (MAT),Enseignements de Mr Muraciole 
Sciences et Technologies de l'Eau (STE),- Formation aux outils comme QGIS Autocad etc... tres utiles en BE  - L'enseignement de specialisation (genie ecologique dans mon cas) seraient peut etre plus pertinents et interessants s'ils duraient plus d'un semestre ? 
Sciences et Technologies de l'Eau (STE),Les formations des outils comme SIG/ Autocad  peuvent etre renforcees je pense. C'est des outils tres utilises.
Genie Biologique et Agroalimentaires (GBA),Genie des procedes Methodes d'amelioration continue  Lean Management  Supply chain 
Sciences et Technologies de l'Eau (STE),Maitrise d'oeuvre et aspects reglementaires.  (Ce sont des thematiques qui sont je crois plus developpees dans la filliere EGC mais peuvent etre utiles au STE)  + logiciels comme SIG ou Autocad 
Genie Biologique et Agroalimentaires (GBA),Marketing 
Materiaux (MAT),En terme de cours sur les materiaux : - Pousser les cours sur les polymeres  - Potentiellement creer un cours / parler de la chimie autour des materiaux de facon generale  - Plus de TP sur la caracterisation thermomecanique / chimique des materiaux (RMN DSC ATG...) - Plus sensibiliser les etudiants a l'impact ecologique / dangerosite / toxicite des materiaux qui sont utilises quotidiennement (resine epoxy ceramiques polymeres CMR...) 
Mecanique Structures Industrielles (MSI - apprentissage),formation excel
Materiaux (MAT),Les materiaux statistiques Les projets en autonomie Les process industriels
Genie Biologique et Agroalimentaires (GBA),Le management amelioration continue  SAP!
Genie Biologique et Agroalimentaires (GBA),Informatique 
Genie Biologique et Agroalimentaires (GBA),Fonctionnement des entreprises 
Genie Biologique et Agroalimentaires (GBA),Cours sur l'outil Excel : VBA fonctions etc
Genie Biologique et Agroalimentaires (GBA),La biologie car c'est genie BIOLOGIQUE aussi GBA
Informatique et Gestion (IG),Les enseignements informatiques techniques
Genie Biologique et Agroalimentaires (GBA),fonctionnement de l'entreprise
Genie Biologique et Agroalimentaires (GBA),La gestion de projet la communication et l'informatique.
Genie Biologique et Agroalimentaires (GBA),Rencontre avec professionnel 
Genie Biologique et Agroalimentaires (GBA),Base de donnees et analyse de donnees (utilisation de logiciels tels que SPSS)
Genie Biologique et Agroalimentaires (GBA),+ d'informatique de numerique 
Sciences et Technologies de l'Eau (STE),plus de TP 
Materiaux (MAT),J'ai deja eu des cours qui traitent en profondeur du sujet donc ca ne m'a pas manque mais je suppose que des cours sur les cv lettres de motivations et entretiens avec des exercices pratiques.
Materiaux (MAT),Management de projets  L'aspect pratique de nos competences (mais la periode covid y joue surement pour ma part car nous n'avions plus acces aux laboratoires donc nous avons seulement vu l aspect technique)
Materiaux (MAT),Pour moi les enseignements de polymeres metaux et ceramiques doivent etre plus approfondies.
Materiaux (MAT),Application de la gestion de projet
Informatique et Gestion (IG),Les projets en groupe L'anglais le TOEIC ne presente pas notre niveau d'anglais et etait trop present dans le notre emploi du temps. J'ai plus appris avec des cours en anglais des presentations en Anglais et des ateliers de mise en situation
Sciences et Technologies de l'Eau (STE),En general je trouve que tous les enseignements proposes se focalisent beaucoup sur les aspects theoriques et pas assez sur les aspects de gestion de projets. J'ai du tout reapprendre pendant les premiers mois et j'ai rarement eu a utiliser les connaissances que j'avais acquises pendant mon cursus.  Je trouve cependant que la matiere 'Filiere de Traitement Unitaire' etait tres utile et donnait un apercu du metier d'ingenieur. Elle meriterait sans doute d'etre plus approfondie en y integrant des notions hydrauliques (profil hydraulique de la station vitesses de passage dans les conduites ...) peut-etre du detail de conduites (robinetterie par exemple) ou de gestion de couts (prix des equipements des conduites de la robinetterie ...)
Informatique et Gestion (IG),La partie reseau 
Informatique et Gestion (IG),Les projets concrets proposes par des entreprises 
Informatique et Gestion (IG),Plus de prof investis / qualitatif du milieu professionnelle. Plus de review de code et de vrai feedback sur nos projet pour pouvoir s'ameliorer
Informatique et Gestion (IG),...
Informatique et Gestion (IG),- Mise en place d'un environnement de developpement agreable a utiliser (Docker + CI/CD) - Mise en production  Globalement on n'aborde presque pas la question de l'Ops. En entreprise meme sans etre Ops on se retrouve facilement dans des situations a 
Informatique et Gestion (IG),Dev ops
Informatique et Gestion (IG),Devops
Informatique et Gestion (IG),L'IA plus de cours de DevSecOps
Genie Biologique et Agroalimentaires (GBA),Je pense qu'il faut renforcer les cours de managements : management situationnel  et se connaitre soi-meme avant de pretendre pouvoir manager.
Mecanique et Interactions (MI),La resistance des materiaux et la simulation numerique.  Les cours de simulations numeriques etaient trop theoriques et meme si on a passe du temps sur Cast3M et qu'on a fait 2 ou 3 exercices sur ANSYS Workbench on se rend vite compte que finalement il nous reste beaucoup a apprendre. Il aurait fallu faire plus de projets de conception et de verification de dimensionnement a mon gout pour avoir cette autonomie. Par exemple : on a souvent considere des pieces dans les exercices de simulation numeriques et non des assemblages. A la sortie de l'ecole je ne maitrisais pas les choses elementaires telles que la definition des contacts et des liaisons entre plusieurs pieces dans un modele par exemple.
Genie Biologique et Agroalimentaires (GBA),Le Marketing
Genie Biologique et Agroalimentaires (GBA),Aucun la formation est tres bien. 
Genie Biologique et Agroalimentaires (GBA),Gestion de projet 
Mecanique et Interactions (MI),Je pense que c'est subjectif...
Microelectronique Et Automatique (MEA),FPGA
Materiaux (MAT),Aucune idee 
Systemes Embarques (SE - apprentissage),Systemes Temps Reels Reseaux POO Telecommunication.
Microelectronique Et Automatique (MEA),Pas de mention particuliere
Genie Biologique et Agroalimentaires (GBA),La vie en entreprise les parties plus administratives : la gestion d'un budget par exemple...
Eau et Genie Civil (EGC - apprentissage),SIG hydraulique a surface libre (approfondir la technicite)
Genie Biologique et Agroalimentaires (GBA),Le management
Informatique et Gestion (IG),Web design UX/UI accessibilite du web
Informatique et Gestion (IG),Data Science Intelligence Artificielle Data Engineering.
Mecanique Structures Industrielles (MSI - apprentissage),Soudage et chaudronnerie
Genie Biologique et Agroalimentaires (GBA),Les sujets RSE
Mecanique et Interactions (MI),- simulation numerique  - analyse et traitement de donnees 
Eau et Genie Civil (EGC - apprentissage),Cours de conduite de travaux Securite sur chantier Etude des marches publics
Genie Biologique et Agroalimentaires (GBA),La methodologie en recherche & developpement (surement plus evoque en 5eme annee ou je n'etais pas present)
Microelectronique Et Automatique (MEA),Intelligence artificielle systemes embarques IoT 
Sciences et Technologies de l'Eau (STE),ARRETER DE DISTRIBUER DES IPADS Tous les cours ou on doit apprendre par coeur deviennent totalement inutiles et soporifiques  Les cours de Marc Heran pourraient etre biens (assainissement) mais le prof va trop vite et n'a aucune pedagogie aujourd'hui je fais tout pour ne pas travailler en assainissement et je considere que je n'ai aucune competence ce qui st dommage car je devalorise mon diplome
Microelectronique Et Automatique (MEA),Droit du travail
Mecanique et Interactions (MI),La gestion de projet
Sciences et Technologies de l'Eau (STE),vie en BE
Materiaux (MAT),CAO
Mecanique et Interactions (MI),Tous les enseignements lies aux enjeux climatiques actuels
Sciences et Technologies de l'Eau (STE),Droit de la commande publique
Genie Biologique et Agroalimentaires (GBA),Tout ce qui touche au genie biologique. La proportion agroalimentaire/genie biologique est assez desequilibree.
Materiaux (MAT),Cours d'insertion professionnel. 
Materiaux (MAT),ACV  Ecoconception 
Informatique et Gestion (IG),Gestion de projet (surtout dans le projets a travers les differentes matieres)
Materiaux (MAT),Les cours sur la gestion de projet les cours axes sur la recherche le developpement et l'industrie 
Materiaux (MAT),Logiciel Anglais
Eau et Genie Civil (EGC - apprentissage),Economie compta et fiscalite des entreprises  
Microelectronique Et Automatique (MEA),Anglais. Allemand. Chinois.
Informatique et Gestion (IG),Mathematiques de la decision
