formation,annee obtention du diplome,vos remarques et commentaires relatifs a votre insertion professionnelle
Eau et Genie Civil (EGC - apprentissage),2022,Parfaite rien de mieux que ce que j'esperais. Mon travail et mon investissement de ces 3 dernieres annees a ete recompense.
Eau et Genie Civil (EGC - apprentissage),2020,S.O.
Informatique et Gestion (IG),2022,Les cours sur Linkedin et sur l'insertion professionnelle sont tres precieux et permettent de comprendre l'importance des reseaux professionnels et de reflechir sur notre carriere professionnelle. Me concernant j'ai pu trouver mon stage en contactant directement un RH sur Linkedin. Le cours en IG5 sur notre projet professionnel nous permet de reflechir sur ce qui nous interesse vraiment et permet d'avoir un projet pertinent ce qui est utile pour les entretiens ensuite.
Eau et Genie Civil (EGC - apprentissage),2020,L'investissement dans ton travail dans un domaine qui te passionne est la cle de la reussite. 
Eau et Genie Civil (EGC - apprentissage),2020,Ras
Mecanique Structures Industrielles (MSI - apprentissage),2020,Tres bonne insertion apres une ecole par alternance.
Informatique et Gestion (IG),2021,Top
Informatique et Gestion (IG),2020,Je suis ensuite parti au Canada c'est beaucoup moins stressant et mieux paye 
Eau et Genie Civil (EGC - apprentissage),2022,Il faut etre sur de son premier emploi attendre la bonne opportunite plutot que de se precipiter a travailler quelque part.
Informatique et Gestion (IG),2020,Insertion professionnelle un peu compliquee a cause du COVID et du fait d'etre etranger quelques difficultes pour obtenir un entretien dans les entreprises qui acceptent de changer le statut du visa de travail.
Systemes Embarques (SE - apprentissage),2021,RAS
Eau et Genie Civil (EGC - apprentissage),2020,De nombreuses entreprises m'ont appele pour travailler chez eux au vue du Diplome de Polytech c'est un point positif pour l'ecole. 
Eau et Genie Civil (EGC - apprentissage),2021,Super
Materiaux (MAT),2022,Je suis epanouie dans ma vie professionnelle. Cela est totalement different de la vie d'etudiant. Je suis heureuse de l'avoir fini et de pouvoir demarrer une nouvelle etape de ma vie.  PS : Merci a vous pour la formation et le temps que vous nous avez accordes. 
Informatique et Gestion (IG),2022,RAS
Materiaux (MAT),2022,Il y a enormement de concurrence il faut tout donner pour montrer sa motivation mais il faut tout faire pour trouver un emploi dans le domaine qui nous passione car plus on est epanoui et plus on sera fort dans ce que l'on fait
Genie Biologique et Agroalimentaires (GBA),2020,Polytech met en place un bon module (recherche emploi redaction de lettres/CV simulation d'entretiens) et reseau pour l'insertion professionnelle
Genie Biologique et Agroalimentaires (GBA),2021,Pas de probleme
Sciences et Technologies de l'Eau (STE),2021,Le temps de l'entreprise est tres different du notre : on apprend souvent que nous sommes recruter apres coup ou au dernier moment. J'ai notamment recu ma proposition d'embauche/contrat lors de mon dernier jour d'alternance laissant peu de temps pour rebondir. Le fait de ne pas savoir si l'on est recrute ou non est un aspect stressant mais il est important de garder en tete que l'administratif de l'entreprise est tres (trop) long et ne vit pas au meme rythme que nous lorsque l'on est stagiaire/alternant.
Microelectronique Et Automatique (MEA),2021,Mon insertion a ete difficile. Une formation supplementaire m'a ete cruciale pour trouver ma voie. Je ne regrette pas d'avoir fait Polytech. Ce reseau d'ecoles possede un fort potentiel qu'il a encore a exploiter dans le cadre des crises sociales et ecologiques. 
Genie Biologique et Agroalimentaires (GBA),2021,Le premier emploi reste difficile a trouver par manque d'experience. Il faut favoriser les visites d'entreprises et l'apprentissage pendant le parcours scolaire pour se construire un reel reseau professionnel. 
Microelectronique Et Automatique (MEA),2021,Mon insertion professionnelle s'est faite naturellement suite a mon stage de fin d'etude. C'est lie au fait que j'ai pu realiser mes deux stages dans la recherche academique du a un assouplissement des regles durant la periode du COVID.  En effet bien que je comprenne cette contrainte et que je regrette personnellement de ne pas avoir eu d'experience dans l'industrie je considere que permettre son affranchissement dans certains cas puisse etre un bonne chose (comme lorsque le 1er stage en recherche se passe bien et qu'on souhaite continuer pour le stage de fin d'etude par exemple).
Mecanique et Interactions (MI),2020,Trouver une entreprise avec vos valeurs
Sciences et Technologies de l'Eau (STE),2021,J'ai trouve mon stage de fin d'etudes grace au reseau Polytech (une ancienne STE avait transmis une offre) stage qui a debouche sur mon embauche
Microelectronique Et Automatique (MEA),2022,Poly+ est peu utilise: renforcer la plate-forme pour faciliter la proposition de job par les entreprises et faciliter la recherche par les etudiants 
Eau et Genie Civil (EGC - apprentissage),2021,RAS
Microelectronique Et Automatique (MEA),2022,Privilegier le contrat pro qui compte de nombreux avantages aujourd'hui (paie decente a bonne meilleure arrivee sur le marche du travail aides etat ...).
Microelectronique Et Automatique (MEA),2020,Je n'ai pas de remarques.
Systemes Embarques (SE - apprentissage),2022,L'apprentissage doit se democratiser
Materiaux (MAT),2020,..
Informatique et Gestion (IG),2021,RAS tres bon accompagnement et salutations a tous les professeurs!
Sciences et Technologies de l'Eau (STE),2022,Merci a l'equipe pedagogique pour ces trois annees. La formation STE se demarque des autres formations classiques en environnement. Les interventions a l'exterieur les intervenants et les sorties terrains ajoutent une plu-value.
Eau et Genie Civil (EGC - apprentissage),2021,J'ai decide de poursuivre dans un mastere energies renouvelables donc qui a peu a voir avec ma formation a Polytech et mon metier est surtout relatif au reseau electrique. J'ai choisi une autre voie car je n'ai finalement trouve aucun interet de travailler dans le genie civil mais c'est totalement personnel et ne remet pas en cause la qualite de la formation qui a tout de meme l'atout principale d'avoir une double competence GC et hydraulique peu trouvable ailleurs et en apprentissage.
Mecanique Structures Industrielles (MSI - apprentissage),2020,-
Sciences et Technologies de l'Eau (STE),2022,Apres mon stage je suis parti plusieurs mois en vacances jusqu'a la ceremonie de remise des diplomes. J'ai commence a chercher un travail le mois suivant et c'est fin decembre que j'ai postule pour plusieurs postes de VIE. Apres deux semaines je me suis permis de relancer les recruteurs et de rappeler le siege du groupe responsable du VIE qui m'interessait le plus. J'ai rapidement eu mon entretien suite a ca.
Mecanique et Interactions (MI),2021,Vu que j'ai effectue une reconversion en informatique l'ensemble de ma formation m'a ete peu utile ... 
Microelectronique Et Automatique (MEA),2020,  
Informatique et Gestion (IG),2021,On a l'eventail du choix en IG donc c'est assez facile de trouver du travail. J'ai quand meme du etre assez selectif pour trouver un poste qui me plaisait. J'ai commence par une ESN mais ce n'etait pas l'ideal pour moi j'ai prefere rejoindre une start-up qui est un monde plus jeune et qui correspond mieux a mon caractere.
Sciences et Technologies de l'Eau (STE),2020,RAS
Informatique et Gestion (IG),2021,trouvez un travail qui vous plait et dans lequel vous pouvez fixer vos propres challenges pour avancer
Materiaux (MAT),2022,Pas de remarque particuliere.   Le cote eco-conception et developpement durable est tres apprecie dans les entreprises. 
Microelectronique Et Automatique (MEA),2022,Mon insertion professionnelle s'est super bien passee grace a mes collegues. J'ai encore beaucoup de travail a faire pour etre au niveau que je souhaite et j'y travaille.
Sciences et Technologies de l'Eau (STE),2022,Ne pas sous-estime l'importance d'un bon reseau. Polytech Montpellier n'etait pas connue en raison de la presence de l'ENGEES a proximite du bureau. 
Mecanique et Interactions (MI),2021,C'est tres dur de trouver un premier job dans une societe qu'un entreprise de consultation. J'aurais aime etre prevenue pour m'y attendre ou avoir plus d'opprotunites de connaitre des entreprises. Apres je n'ai pas ete sur Poly+ ou Polytech Connect....
Microelectronique Et Automatique (MEA),2022,No problems
Systemes Embarques (SE - apprentissage),2022,Il y a BEAUCOUP de demandes
Mecanique et Interactions (MI),2020,Elle n'a pas ete des plus facile pour moi j'ai passe beaucoup d'entretiens qui n'ont pas abouti sur un emploi (sur une periode de 6 mois). Apres m'etre inscrit sur la plateforme VIE j'ai ete contacte par une societe de conseil franco-belge qui m'a embauche sur profil. Une fois arrive en Belgique j'ai obtenu ma premiere mission en entreprise dans une societe de refrigeration industrielle dans laquelle je serais jusqu'a la fin de mon contrat en aout.
Microelectronique Et Automatique (MEA),2022,Beaucoup demarchee par les entreprises de prestations. Pas mal de refus en contactant directement des PME parce qu'ils demandent souvent 3 ans d'experience minimums. Au final je suis passee par une entreprise de prestation qui m'a propose une mission avec une PME...
Systemes Embarques (SE - apprentissage),2022,Le plus difficile est de savoir ce qui nous plait vraiment dans le metiers. Les possibilites sont larges et il ne faut pas avoir peur de tester et chercher des choses qui nous correspondent le mieux.
Mecanique et Interactions (MI),2022,Je suis tres content de la ou je suis aujourd'hui et c'est en grande partie grace a Polytech et son equipe educative (plus les unites de soutiens). Je suis donc tres heureux de representer Polytech ! 
Microelectronique Et Automatique (MEA),2020,L'insertion professionnelle a ete tres dure en 2020 a cause de la pandemie. Tres peu de recrutements a ce moment-la. La situtation semble revenir a la normale est l'insertion est plutot bonne/facile
Microelectronique Et Automatique (MEA),2022,Je trouve que l'insertion professionnelle est assez fluide et effectuee de maniere crescendo entre le stage de 4A le projet de fin d'etude sur le premier semestre de 5A et le stage de fin d'etudes sur le second semestre. De meme l'augmentation de la part de projets en 4A est tres bien plus la formation avance plus le cote scolaire disparait pour laisser place aux projets ce qui s'approche de la vie professionnelle.  Je suis satisfait de mon insertion professionnelle je suis bien dans mon entreprise actuelle et je pense que l'experience que j'y acquiert sera utile pour la suite et je m'y sens a l'aise et bien entoure ce qui fait que je suis aussi content d'aller au travail que d'aller au bat 14 en PFEan
Microelectronique Et Automatique (MEA),2022,Profil LinkedIn essentiel. Contenu du CV tres important.  Rester tres proche de son telephone des lors que la recherche d'emploi a commencee. etre souple sur les horaires et ne pas hesiter a se deplacer pour les entretiens
Microelectronique Et Automatique (MEA),2020,ayant finis mes etudes en septembre 2020 le contexte n'etait pas le plus clement pour trouver un emploi mais la perseverence a finis par payer et je suis tres heureux des choix que j'ai fait (refus de certaines offres moins interessante attente de trouver le poste correspondant a mes envies). Actuellement il est beaucoup plus simple de trouver un emploi dans notre filiere donc il est important de prendre son temps pour choisir le poste qui nous plait.
Systemes Embarques (SE - apprentissage),2021,RAS
Microelectronique Et Automatique (MEA),2022,J'ai decide de continuer en these je ne pense pas pouvoir donner de remarques a ce sujet.
Mecanique Structures Industrielles (MSI - apprentissage),2021,Il y a beaucoup plus d'offres que de candidats (dans les bureau d'etude en tout cas). C'est maintenant qu'il faut en profiter et se former convenablement pour bien negocier son contrat apres.
Mecanique Structures Industrielles (MSI - apprentissage),2020,Aucune
Mecanique Structures Industrielles (MSI - apprentissage),2021,-
Mecanique Structures Industrielles (MSI - apprentissage),2020,Il serait peut-etre judicieux d'accompagner l'etudiant pour sa recherche d'emplois + preparation aux entretiens durant son dernier semestre. Certains d'entre eux ne souhaitent pas rester dans leurs entreprises d'apprentissage 
Mecanique Structures Industrielles (MSI - apprentissage),2022,Aucun soucis pour trouver une entreprise suite a la fin d'etudes
Systemes Embarques (SE - apprentissage),2020,Ne pas abandonner et oser candidater sur des postes dont on ne remplie pas 100% de la fiche de poste. Meme si l'on ne remplie que 40% des caracteristiques d'embauche il suffit d'une activite dans notre experience professionnel qui peut etre recherchee par la boite et faire peser la balance.
Microelectronique Et Automatique (MEA),2021,Prendre le temps d'ecouter les souhaits de chacun sans les ecraser dans la masse d'enseignement et dans les choix predefinis de metiers imposes par la specialite. 
Materiaux (MAT),2022,J'ai opere une reconversion qui a fait suite a une certaine dissonance. Ca a ete  dur a vivre mais le recul que j'ai pris et que j'ai fait valoir en entretien ainsi que les savoir-faire et savoir-etre developpes a l'ecole en cours ou en association m'ont permis de trouver rapidement du travail une fois que j'ai pu bien identifier ce que je voulais vraiment faire.
Sciences et Technologies de l'Eau (STE),2021,MON STAGE DE 5E m'a permis de faire mes preuves dans l'entreprise et de decrocher un CDI en septembre 
Materiaux (MAT),2021,Contrat pro = super utile 
Materiaux (MAT),2022,Tres bien passe j'ai trouve l'annonce grace a un mail de polytech 
Sciences et Technologies de l'Eau (STE),2020,Polytech ne s'appuie pas assez sur ses anciens eleves. On a tous dans nos entreprise des tas de postes ouverts junior qui pourraient correspondre a des etudiants de polytech.
Materiaux (MAT),2020,A la sortie d'ecole notre profil et tres attirant et les chasseurs de tete des societes de conseil sont a l'affut. Vous allez avoir de nombreuses offres mais le monde du conseil est special assurez vous de la correspondance de vos attentes/competences avec ce qui vous est propose. Les societes de conseil peuvent neanmoins etre un bon tremplin pour acquerir une premiere experience professionnelle 
Genie Biologique et Agroalimentaires (GBA),2022,/
Sciences et Technologies de l'Eau (STE),2020,J'ai decide de reprendre mes etudes en me specialisant dans le domaine cotier. J'ai opte pour un master en alternance ce que je considere comme le plus professionnalisant. C'est en grande partie la formation STE qui m'a aide dans mon insertion professionnelle. Ce sont les enseignements diversifies de la formation qui m'ont permis d'acquerir des competences techniques que j'utilise chaque jour mais qui m'ont egalement permis de murir un projet professionnel.  Une amelioration de la formation STE serait pour moi de pouvoir se specialiser plus tot (debut 4A).
Sciences et Technologies de l'Eau (STE),2022,Mon insertion professionnelle a ete tres facile puisque j'ai poursuivi au sein de l'entreprise dans laquelle j'ai ete effectue mon stage. Et notre profil polyvalent tourne vers les metiers d'avenir (eau-environnement) est tres recherche. 
Sciences et Technologies de l'Eau (STE),2021,Le contrat de professionnalisation m'a permis de decouvrir le monde de l'entreprise progressivement et rendre ma derniere annee beaucoup plus concrete avec un projet de fin d'etudes realisee dans l'entreprise 
Mecanique Structures Industrielles (MSI - apprentissage),2022,Tres interesse par la transmission du savoir/experiences .  Formation MSI d'excellente qualite qui permettent le developpement d'un reseau professionnel de competence techniques et scientifiques.
Mecanique Structures Industrielles (MSI - apprentissage),2022,Je ne suis pas encore insere du moins pas totalement 
Mecanique Structures Industrielles (MSI - apprentissage),2022,la formation MSI et l'IWE vont me permettre de trouver un emploi sans difficulte dans l'industrie francaise. La formation MSI est un atout pour travailler dans un tas de secteurs industriels/nucleaires. Le bouche a oreille et mon experience m'ont permis de rencontrer d'anciens MSI avec de tres bons postes et responsabilites. La reputation des MSI dans le monde du travail semble bonne et solide.
Mecanique Structures Industrielles (MSI - apprentissage),2022,Le delai entre l'attestation de reussite au diplome peut etre un point blocant pour une embauche immediate dans l'entreprise. Celui-ci bien que deja court gagne a etre reduit au maximum
Eau et Genie Civil (EGC - apprentissage),2020,Avec l'alternance mon insertion s'est fait dans la continuite. Aujourd'hui je peux dire que je suis integre a 100% dans les effectifs et que c'est a mon tour d'avoir des alternants et les former. ( Ce qui est tres interessant ! )
Genie Biologique et Agroalimentaires (GBA),2021,Il faut etre patient cela peut prendre un peu de temps de decrocher un premier poste.  Le demarrage au premier poste est assez difficile quand il y a de la gestion de l'humain car nous n'avons pas eu d'enseignement sur le management d'equipe
Genie Biologique et Agroalimentaires (GBA),2022,Privilegier absolument les contrats pro et alternances c'est un vrai plus pour l'insertion professionnelle.
Sciences et Technologies de l'Eau (STE),2021,Dans le domaine du consulting dans le developpement international dans lequel je travaille la qualification (niveau et type de diplome) est un element important et 'pointe' lorsque l'on soumet une offre (individuelle ou via un bureau d'etudes). Polytech est connu et reconnu de mes employeurs ou potentiels employeurs (bureaux d'etudes internationaux bailleurs de fonds organisations internationales institutions publiques etc
Sciences et Technologies de l'Eau (STE),2022,La formation devrait donner davantage d'exemples de debouches et de cas d'etudes pour vraiment savoir a quoi ressemblera notre metier 
Materiaux (MAT),2022,etre patient pour trouver un stage qui peut reellement etre un tremplin pour leur debut de carriere par la suite.
Sciences et Technologies de l'Eau (STE),2020,Mon insertion professionnelle s'est faite grace a une ancienne etudiante Polytech qui m'a conseille d'aller a ISL. Mon entreprise ne connaissais pas trop notre formation. Je crois bien que je suis la seule Polytech STE de mon entreprise. 
Genie Biologique et Agroalimentaires (GBA),2022,Etant encore sous le statut etudiant/alternant je n'ai pas de remarque a ajouter sur l'insertion pro.   Cependant pour la recherche de mon alternance en tant que chef de produit le fait d'avoir realise mon contrat pro en derniere annee de gba au sein d'une entreprise agro et en R&D cela a ete un plus pour ma candidature et pour le poste propose ! 
Materiaux (MAT),2022,- Gagner en experience et devenir multi tache (maitriser un domaine en particuliers et essayer de savoir bcp de chose afin de comprendre son interlocuteur lors de reunion pro)  - etre curieux !! Se renseigner sur tout essayer a comprendre se que font v
Mecanique Structures Industrielles (MSI - apprentissage),2022,J'ai trouve facilement une entreprise pour mon contrat de professionnalisation pour ma poursuite d'etude car je suis dans un domaine d'activite porteur d'avenir !
Genie Biologique et Agroalimentaires (GBA),2021,Tout s'est tres bien passe pour moi. Revillon est une entreprise accueillante et tres humaine. La bienveillance reigne et c'est un reel plaisir de compter sur les autres en cas de besoin.  Je susi entree en contrat pro lors de la campagne '500 apprentis chez Savencia' donc il y avait beaucoup d'opportunites. La direction a trouve que j'avais realise une alternance reussie et lorsque j'ai exprime mon souhait de rester les portes se sont ouvertes. J'ai d'abord occupe un poste ^pour me faire monter en competence en management et en organisation avant d'occuper mon poste actuel. Un reel defi de passer en supply/logistique car ma formation est en production. J'ai un poste assez transverse et c'est ce que je souhaitait pour continuer a me former. J'ai egalement des missions de relation client d'ordonnancement et de planning donc c'set assez complet et je touche un peu a tout Avec les gros projets qui vont arriver en 2023 je suis sure de continuer a progresser
Genie Biologique et Agroalimentaires (GBA),2022,Je me suis dirigee vers un domaine qui ne m'a finalement pas plu lors de mon stage de 4eme annee. Pas que le domaine ne m'interessait pas mais que des notions me manquaient.  J'ai pu prendre cela en compte pour la suite et ca n'a pas ete un probleme. 
Genie Biologique et Agroalimentaires (GBA),2021,Insertion professionnelle facile car mon stage s'etait tres bien deroule et l'entreprise avait besoin d'un chef de projet. Pour l'entree en doctorat le fait d'avoir une formation d'ingenieur et non academique etait un plus car j'avais une vision plus realiste et pragmatique que les autres candidats sur mon projet professionnel.
Genie Biologique et Agroalimentaires (GBA),2022,Merci tout simplement pour votre patience et votre engagement ! Ne changez rien !
Materiaux (MAT),2022,J'ai eu du mal en sortie d'etude directe de trouver un poste hors des societes de conseils ou lieu de stage. 
Materiaux (MAT),2022,Meme sans etre embauche je trouve que Polytech offre des bonnes opportunites a travers de la plateforme Poly+ pour se connecter aux entreprises.
Materiaux (MAT),2022,j'ai decouvert ce secteur qui m'etait completement inconnu mais les enseignements qui nous ont ete inculques lors de notre scolarite nous ont appris a nous adapter. Ainsi mon adaptation a ce nouveau milieu s'est fait doucement mais sans embuche. 
Sciences et Technologies de l'Eau (STE),2022,Pas de remarques de plus.
Informatique et Gestion (IG),2022,Mon insertion s'est tres bien passe a Montpellier beaucoup d'entreprises connaissent notre ecole et l'apprecient
Informatique et Gestion (IG),2022,Je n'ai pas encore fait d'insertion pro a proprement parle. Juste qu'il ne faut pas denigrer les ESN. Ces entreprises peuvent etre un tremplin pour decouvrir le monde de l'entreprise agrandir son reseau et decouvrir le monde de l'informatique a 360 degres. La possibilite de changer regulierement de projet est une chance. 
Informatique et Gestion (IG),2020,Avec du recul je suis tres satisfait de ma formation a Polytech
Informatique et Gestion (IG),2021,...
Informatique et Gestion (IG),2022,Aucunes difficultes a trouver un stage/emploi apres la formation 
Mecanique et Interactions (MI),2021,Le stage de 5eme annee a ete determinant dans mon insertion professionnelle. Il m'a permis de me creer un reseau professionnel qui m'a permis d'integrer l'entreprise ou j'exerce mon activite professionnelle actuellement.
Genie Biologique et Agroalimentaires (GBA),2020,Je suis tres reconnaissante de la formation que j'ai eue car elle m'a donne beaucoup d'outils pour realiser mon stage de fin d'etudes puis pour demarrer dans la vie professionnelle. La formation est tres complete et dans mon cas cela a ete un reel atout puisqu'ayant ete embauchee dans une PME cela m'a permis d'etre polyvalente et de travailler sur des sujets tres divers.
Genie Biologique et Agroalimentaires (GBA),2020,J'ai rencontre beaucoup de difficultes a m'inserer professionnellement compte tenu du contexte sanitaire 2020-2021 et de mon manque d'experience. Je n'ai malheureusement pas pu realiser mon projet de travail a l'etranger et j'ai du reprendre une formation. Je m'oriente vers un poste bien moins technique et scientifique que je ne le pensais afin de pouvoir enfin demarrer ma carriere professionnelle. J'espere cependant me rapprocher du secteur de l'agroalimentaire et des industries biologiques dans les prochaines annees. 
Materiaux (MAT),2020,Le COVID n'a rien aide c'est une certitude. De plus les conseils dispenses dans le cours sur l'Insertion Professionnelle me semblent aujourd'hui mauvais. En vrac : arriver a l'entretien d'embauche avec une feuille de papier annotee a laquelle on se reporte pendant l'entretien donner de vrais defauts pendant l'entretien ne surtout pas poser la question du salaire en premiere question parce que ca fait trop 'je travaille que pour l'argent' faire valoir toutes les experiences du CV y compris celles qui n'ont aucun rapport avec le poste ... Tous ces conseils sont inutiles et a proscrire.
Microelectronique Et Automatique (MEA),2020,Elle a ete tres difficile (en tres grande partie a cause du Covid).
Mecanique Structures Industrielles (MSI - apprentissage),2021,Avec l'experience emmagasiner durant l'apprentissage l'insertion est plus facile.
Informatique et Gestion (IG),2022,Le plus important ce n'est pas l'entreprise c'est la mission.
Informatique et Gestion (IG),2022,Tres facile
Informatique et Gestion (IG),2022,J'ai ete tres heureuse d'avoir etudie a Polytech Montpellier tout s'est tres bien passe et l'enseignement que j'ai recu m'ouvre de nombreuses portes. Le stage de 5eme annee a ete decisif pour mon insertion professionnelle j'ai pu mettre en pratique ce qu'on m'avait appris sur la gestion de projet et c'est la que je me suis rendu compte que j'aimais ca et souhaitais poursuivre dans cette voie. 
Mecanique et Interactions (MI),2020,Difficile avec la pandemie mais les enseignants ont ete la pour m'aider 
Eau et Genie Civil (EGC - apprentissage),2022,Tous les conseils sont bons les bons comme les mauvais. Les bons on les retiens pour les appliquer les mauvais on les retiens pour ne pas les faire.
Microelectronique Et Automatique (MEA),2021,Tres facile 
Mecanique et Interactions (MI),2021,L'experience professionnelle est indispensable et n'ayant pas fait de stage de 4eme annee a cause de la crise sanitaire cela s'est ressenti.
Materiaux (MAT),2021,J'ai eu beaucoup de mal a trouver un emploi en raison d'un manque d'experience du manque d'un stage a l'etranger a cause de la pandemie ainsi que d'un contexte de reprise de l'activite au ralenti. Le stage que j'ai effectue ne correspondait pas reellement a ce que je voulais faire mais il m'a permis d'etre la ou je suis actuellement (dans le secteur des remontees mecaniques) J'ai du au prealable passer par une boite de consulting Je suis desormais embauche chez mon premier client (La compagnie des Alpes)
Materiaux (MAT),2021,Encore une fois accentuez sur les opportunites qu'offrent le contrat pro en 5eme annee donc en parler le plus tot possible pour que les etudiants puissent commencer leurs recherches au plus tot. 
Materiaux (MAT),2022,La force du reseau se fait ressentir
Microelectronique Et Automatique (MEA),2020,J'ai commence en Allemagne. Je vis a Berlin actuellement. Meme si l'allemand est la langue de travail les entreprises recrutent meme des gens qui ne le parlent pas. Il y a beaucoup de francais ici.
Materiaux (MAT),2022,Il faut absolument developper les cours d'excel. Pass info ne suffit pas car on oublie rapidement ce qu'on a appris. Il faut avoir des cours d'excel chaque annee (rechercheV tableau croise dynamique...). Les cours de droit sont finalement assez utiles quand on a besoin d'infos (meme si pendant les cours ca ne nous passionne pas !). 
Microelectronique Et Automatique (MEA),2022,Je suis tres heureux de ma situation actuelle en tant que doctorant. Bien que mon domaine de recherche s'est beaucoup eloigne de mon enseignement a Polytech je suis a jamais reconnaissant du soutien de certains de mes professeurs lors de ce changement de voie :)
Informatique et Gestion (IG),2021,J'aurais aime que polytech diverdifie les entreprises presente pas que des esn ou personne n'apprend et ne s'epanoui. Parlez leurs de boites responsables Ecolos sociales c'est a vous de montrer la voie du future aux futures ingenieurs. Stop les esn conseils et tout autres Bullshit boite. Que des boites a fric sans ethique. Si vous vous dites une ecole engagee dans le rse soyez le jusqu'au bou svp ! C'est maintenant qu'il faut changer les choses. Toujours disponible pour en parler plus en detail si jamais. 
