formation,"quels enseignements, presents dans votre formation, vous paraissent inutiles ?"
Microelectronique Et Automatique (MEA),Analyse
Materiaux (MAT),Management de la qualite car pas du tout concret  manque de cas d'etude et est seulement une enumeration de normes 
Genie Biologique et Agroalimentaires (GBA),Thermodynamique
Sciences et Technologies de l'Eau (STE),Pas d'enseignement inutiles : ceux qui ne servent peut etre pas aujourd'hui pourront me servir a l'avenir et restent des connaissances de culture generale essentielles pour aujourd'hui.
Microelectronique Et Automatique (MEA),Pas mal d'enseignements trop theoriques sans application pratique (comme le traitement du signal numerique : plus de TP que de CM pourrait etre plus interessant). Ou des enseignements qui donnent l'impression que des etapes sont sautees (comme apprendre le C++ avant de passer par la definition des classes par l'UML).  Afin d'ameliorer ces aspects il pourrait etre demande en fin d'annee une restitution commune des etudiants sur les points a ameliorer et cette restitution pourrait faire l'objet d'une reflexion quant a l'amelioration de ces points. 
Genie Biologique et Agroalimentaires (GBA),Conception CV lettre de motivation -> mettre le cours seulement sur 1 annee et non sur les 3
Microelectronique Et Automatique (MEA),Aucun enseignement ne me semble inutile.
Mecanique et Interactions (MI),Certaines disciplines trop pointus comme les volumes finies
Sciences et Technologies de l'Eau (STE),Geologie
Microelectronique Et Automatique (MEA),Gestion d'entreprise / Communication 
Eau et Genie Civil (EGC - apprentissage),Methode numerique : trop precis par rapport a un enseignement generaliste sur l'hydraulique et genie civil
Microelectronique Et Automatique (MEA),Robotique et autom (trop present) Ondes Economie Reseaux de petris etc
Microelectronique Et Automatique (MEA),Entrepreneuriat gestion d'entreprise.
Systemes Embarques (SE - apprentissage),Ne sais pas
Systemes Embarques (SE - apprentissage),Innovation
Systemes Embarques (SE - apprentissage),Gestion projet (sous la forme de cours magistraux) 
Materiaux (MAT),Physique statistique bdd
Informatique et Gestion (IG),Certaines matieres incomprehensibles et hors sujets avec le programme en 5A option IoT car on demarre sans connaissances et le professeur n'a eu aucune considerations vis a vis de nous (RFID je crois et une seconde)
Eau et Genie Civil (EGC - apprentissage),Methode numeriques 
Sciences et Technologies de l'Eau (STE),La maniere qu'on a eu d'aborde Rstudio n'etait pas la plus formatrice. Arrivee en stage je savais pas quoi faire comme analyse alors qu'on l'avait utilise toute l'annee. Je pense qu'il y a un axe d'amelioration sur cette partie. 
Eau et Genie Civil (EGC - apprentissage),Les enseignements relatifs a la communication ou alors mieux fait.
Mecanique Structures Industrielles (MSI - apprentissage),Qualite
Sciences et Technologies de l'Eau (STE),.
Microelectronique Et Automatique (MEA),C'est la meme chose que la q68
Mecanique et Interactions (MI),mecanique des milieux continus 
Microelectronique Et Automatique (MEA),La langue vivante n2
Microelectronique Et Automatique (MEA),   
Informatique et Gestion (IG),Espagnol
Sciences et Technologies de l'Eau (STE),Ne se prononce pas car je pense que cela depend des souhaits d'evolution dans le metier de l'eau de chacun donc la pluralite des enseignements est necessaire. Cependant une specialisation plus tot peut etre interessante. 
Informatique et Gestion (IG),Mathematique de la decision Espagnol/Allemand  
Informatique et Gestion (IG),Analyse financiere compta  La partie gestion est trop axee gestion d'entreprise et pas gestion de projet 
Materiaux (MAT),Certains projets comme celui de Traitement de donnees les cours de MEF (methodes des elements finis) ou encore MSG (materiaux standards generalise).  Ces cours sont bien pour ceux qui sont interesses par les calculs la simulation. Mais personnellement ils ne m'ont rien apporte j'aurais prefere d'autres TP ou projets de physique-chimie.  
Sciences et Technologies de l'Eau (STE),aucun
Mecanique et Interactions (MI),Aucuns
Microelectronique Et Automatique (MEA),partie algebrique 
Mecanique et Interactions (MI),Robotique
Mecanique et Interactions (MI),Les cours sur la sante / le biomedical filiere vers lesquelles tres peu d'etudiants se dirigent finalement. Il faudrait que ce soit une option.
Microelectronique Et Automatique (MEA),L'espagnol
Microelectronique Et Automatique (MEA),RAS
Systemes Embarques (SE - apprentissage),Redaction de LM et CV  
Mecanique et Interactions (MI),Langue vivante 2
Eau et Genie Civil (EGC - apprentissage),Aucun ils sont tous utile en EGC mais pas de la meme maniere pour tous les apprentis en fonction de l'entreprise d'accueil.
Mecanique et Interactions (MI),sans objet
Mecanique et Interactions (MI),aucun suivant ce que l'on fait apres ils ont tous une utilite.
Systemes Embarques (SE - apprentissage),Insertion professionnelle 
Microelectronique Et Automatique (MEA),Analyse complexe communication 
Microelectronique Et Automatique (MEA),Aucun
Systemes Embarques (SE - apprentissage),Gestion de l'innovation (en tout cas sous la forme que nous avons vu)
Mecanique et Interactions (MI),Tous les enseignements theoriques de la 4 et 5A... 
Mecanique et Interactions (MI),Le cours sur l'eco conception ! Je trouve le professeur pas tres interessant alors que le concept est majeur pour nos generations. 
Microelectronique Et Automatique (MEA),Gestion entreprise Analyse frequentielle DDRS
Microelectronique Et Automatique (MEA),creation d'entreprise
Sciences et Technologies de l'Eau (STE),Aucun 
Microelectronique Et Automatique (MEA),Ondes Organisation des entreprises  LV2 devrait etre optionnel
Microelectronique Et Automatique (MEA),L'enseignement sur la veille technologique
Genie Biologique et Agroalimentaires (GBA),Algorithme programmation
Systemes Embarques (SE - apprentissage),Innovation
Microelectronique Et Automatique (MEA),S'il y'en avait je les ai surement oublie 
Mecanique Structures Industrielles (MSI - apprentissage),Creation de CV
Mecanique Structures Industrielles (MSI - apprentissage),Ceramique et verre
Mecanique Structures Industrielles (MSI - apprentissage),-
Mecanique Structures Industrielles (MSI - apprentissage),Ras 
Mecanique Structures Industrielles (MSI - apprentissage),Ceramique et verre  
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Mecanique Structures Industrielles (MSI - apprentissage),GRH
Systemes Embarques (SE - apprentissage),le truc sur la theorie des graphes ! 
Informatique et Gestion (IG),aucun
Materiaux (MAT),Physique statistique 
Materiaux (MAT),Aucun ne l'est totalement peut etre augmenter la part d'enseignements non scientifiques
Sciences et Technologies de l'Eau (STE),/
Eau et Genie Civil (EGC - apprentissage),Methodes numeriques 
Materiaux (MAT),Phystat 
Sciences et Technologies de l'Eau (STE),RIEN N'a ete inutile seulement la specialite a la fin n'a pas ete assez developpee ! 
Materiaux (MAT),pas inutiles mais interessant dans la globalite 
Sciences et Technologies de l'Eau (STE),Communication en tout cas dans la facon dont c'etait enseigne 
Sciences et Technologies de l'Eau (STE),Les matieres mobilisant du par c&oeligur (vegetaux aquatiques par exemple). Quand on travaille on a acces a tout et on peut communiquer avec tout le monde les ressources sont infinies. le par c&oeligur n'a aucun sens.
Informatique et Gestion (IG),Maths de la decision
Genie Biologique et Agroalimentaires (GBA),/
Sciences et Technologies de l'Eau (STE),Module Entreprenariat en 5A
Sciences et Technologies de l'Eau (STE),Actuellement j'utilise peu les enseignements issus de la biologie et de l'hydrologie mais ce sont des thematiques a fort potentiel dans les annees a venir donc je ne pense pas qu'il y ait des enseignements inutiles dans notre formation. 
Sciences et Technologies de l'Eau (STE),Les cours de genie des procedes en 3A avec le transfert de matieres
Materiaux (MAT),Physique Statistique.
Mecanique Structures Industrielles (MSI - apprentissage),enseignement qualite proba et stat
Mecanique Structures Industrielles (MSI - apprentissage),Le module de transfert thermique qui est selon moi enseigne d'une maniere trop atypique. (Le module en soit n'est pas inutile)
Mecanique Structures Industrielles (MSI - apprentissage),RAS
Mecanique Structures Industrielles (MSI - apprentissage),Aucun
Mecanique Structures Industrielles (MSI - apprentissage),Comptabilite / Gestion 
Mecanique Structures Industrielles (MSI - apprentissage),Methodes de production
Eau et Genie Civil (EGC - apprentissage),Personnellement pour le metier que j'exerce les cours d'informatique ne me sont pas utiles.
Genie Biologique et Agroalimentaires (GBA),Ras
Genie Biologique et Agroalimentaires (GBA),Tous les cours de Christian Sanchez (la matiere le vide etc)
Sciences et Technologies de l'Eau (STE),Le projet inter filiaire 
Sciences et Technologies de l'Eau (STE),La RAN en biologie en 3A m'a semble tres poussee par rapport a ce qu'il nous etait necessaire de connaitre pour la suite du programme. Mais j'ai trouve cela interessant donc pas inutile.
Sciences et Technologies de l'Eau (STE),cours de step (personnellement bien que je concois que ca puisse etre utilise pour ceux travaillant/voulant travailler dans le secteur de traitement des eaux usees)
Sciences et Technologies de l'Eau (STE),LV2
Sciences et Technologies de l'Eau (STE),Le volume de cours conxernant les procedes biologiques peuvent a mon sens etre diminues.  Ils sont interessant pour la culture et savoir comment cela fonctiobne mais en pratique on n'y utilise jamais 
Genie Biologique et Agroalimentaires (GBA),Fluides industriels  
Materiaux (MAT),- Cours d'informatiques  - Cours d'economie - Cours de droit (sauf pour ceux voulait creer leur entreprise etc)  - Cours de modelisation 
Materiaux (MAT),Tous les enseignements trop theoriques qui menent plus a une these et de la recherche qu'au metier d'ingenieur dans l'industrie : thermodynamique Mathematiques...
Genie Biologique et Agroalimentaires (GBA),NSP
Genie Biologique et Agroalimentaires (GBA),/
Genie Biologique et Agroalimentaires (GBA),Physique
Informatique et Gestion (IG),Gestion de projet (pas inutile mais pas besoin d'autant d'approfondissement)
Sciences et Technologies de l'Eau (STE),Certaines interventions de cinquieme annee par des entreprises
Materiaux (MAT),Le codage informatique mais je ne suis pas tres objective c'est une matiere que ne m'a jamais plu et je savais que ne voudrais pas travailler dans ce domaine. 
Materiaux (MAT),Comme etranger les enseignements de droit du travail ont ete inutiles pour moi.
Materiaux (MAT),Je ne sais pas
Sciences et Technologies de l'Eau (STE),Certains enseignements me sont inutiles a moi mais indispensables a d'autres je ne pense pas qu'il y ait d'enseignements inutiles je pense au contraire que la formation est tres generale et permet de toucher a tout et de trouver ce qui pourrait nous plaire (ou non). Mais forcement cela amene des inconvenients. La formation touchant un peu a tout elle n'est specialisee en rien. De ce fait pas mal d'employeurs sont reticents a l'embauche notamment dans le domaine ecologique.
Informatique et Gestion (IG),theorie des jeux les cours d'ibm sur le cloud 
Informatique et Gestion (IG),Certaines notions de maths
Informatique et Gestion (IG),Systeme d'information bibliographie
Informatique et Gestion (IG),....
Informatique et Gestion (IG),Controverses MSI 
Informatique et Gestion (IG),Msi controverse 
Informatique et Gestion (IG),Controverse MSI Econometrie
Mecanique et Interactions (MI),La robotique meme si j'ai trouve les cours interessants ne me sers plus aujourd'hui dans le metier que j'exerce.  Plus generalement je pense que la formation generaliste n'est pas un avantage. En faisant un peu de robotique un peu de conception un peu de simulation numerique etc etc au final on ne sait pas reellement faire grand chose et on apprend 'sur le tas' en arrivant en entreprise. A posteriori j'aurais prefere suivre une formation specialisee.
Genie Biologique et Agroalimentaires (GBA),Aucun la formation est tres bien. 
Genie Biologique et Agroalimentaires (GBA),/
Mecanique et Interactions (MI),Sante securite au travail. Le reste sert pour la culture scientifique meme si pas forcement utile.
Informatique et Gestion (IG),Too much focus on specific technologies - we focused a lot on (enterprise) Java time which I think could have been better spent learning the fundamentals/more comp sci things.  
Materiaux (MAT),L'insertion Professionnelle telle que je l'ai recue les cours sur la veille technologique les modules sur le pass informatique et plus largement tous les cours 'a recracher par coeur a l'examen' (ils etaient finalement nombreux)
Microelectronique Et Automatique (MEA),Pas de mention particuliere
Eau et Genie Civil (EGC - apprentissage),Trop de cours sur les canalisations (projets redondants)
Mecanique Structures Industrielles (MSI - apprentissage),Ceramiques et verres 
Genie Biologique et Agroalimentaires (GBA),Communication 
Informatique et Gestion (IG),Management des SI 
Informatique et Gestion (IG),Toute la partie gestion. C'est bien d'avoir des notions mais cela ne nous apporte absolument rien et pourrait etre remplace en partie par d'autres cours plus important pour notre carriere professionnelle.
Mecanique Structures Industrielles (MSI - apprentissage),Economie GRH avec des personnes n'ayant jamais manage une equipe dans l'industrie.
Mecanique et Interactions (MI),- Cours sur les Volumes finis de la maniere dont il a ete fait pour mon annee  
Eau et Genie Civil (EGC - apprentissage),Pas inutiles mais trop presents et trop denses: Chimie de l'eau lois et reglementations sur l'eau.
Microelectronique Et Automatique (MEA),Analyse
Sciences et Technologies de l'Eau (STE),Les cours de Marc Heran (les cours sont biens mais encore une fois je considere que je n'ai aucune competence dans ces domaines ce qui est dommage car c'est clairement sa pedagogie qui ne va pas). Monsieur Zaviska etait beaucoup plus pedagogue et desireux de notre comprehension et notre reussite 
Microelectronique Et Automatique (MEA),Economie 
Mecanique et Interactions (MI),Je ne sais pas
Sciences et Technologies de l'Eau (STE),la bio
Sciences et Technologies de l'Eau (STE),Aucun
Materiaux (MAT),La physique statistique. 
Materiaux (MAT),Management / Economie  Et la plupart des cours transversaux en general 
Materiaux (MAT),/
Informatique et Gestion (IG),Plus le temps passe plus je ressens que toutes les matieres etaient utiles Petit bemol sur l'introduction a l'IA
Materiaux (MAT),EEE projet matlab
Mecanique et Interactions (MI),qualite economie 
Microelectronique Et Automatique (MEA),Cours de 5eme annee 
Microelectronique Et Automatique (MEA),Mon avis serait biaise compte tenu de mon changement de domaine.
Microelectronique Et Automatique (MEA),RSE
Genie Biologique et Agroalimentaires (GBA),Mecanique des fluides  Modelisation 
Materiaux (MAT),EEE BDD passeport info : MAT3 MEF technique de communication management de projet : MAT4  Materiaux pour la detection et le stockageManagement de la qualite et sante-securite au travail Management de projet Competences numeriques pour l'ingenieur : MAT5 
Microelectronique Et Automatique (MEA),Analyse complexe Ondes 
Microelectronique Et Automatique (MEA),Communication et insertion professionnelle.
Informatique et Gestion (IG),Comptabilite et tout autre cours de gestion axe sur les finances Tout examen de code ou Google est interdit ca ne se passe pas comma ca dans la vrai vie... Et surtout supprimer les enseignements REDONDANTS il est de votre responsabilite de faire en sorte que ca n'arrive pas
Sciences et Technologies de l'Eau (STE),SANS OBJET
Sciences et Technologies de l'Eau (STE),Pass Info
Microelectronique Et Automatique (MEA),Bien que tres interessant je pense que le cours sur les neuroprotheses meriterait d'etre transforme en cours du type 'application des normes et documentation d'un code dans un contexte critique'.
Sciences et Technologies de l'Eau (STE),Les maths
Mecanique et Interactions (MI),Seconde langue
Microelectronique Et Automatique (MEA),Les enseignements trop mathematiques (analyse notamment). Difficile de faire le lien avec les autres cours
Microelectronique Et Automatique (MEA),Programmation objet. Professeur trop peu clair et tp ininteressant je n'ai rien retenue de cette matiere qui prend pourtant une bonne partie du semestre 3  Allemand (lv2) j'aurais voulu prendre une autre lv2 que celle choisit quand jetait au college (comme chinois pas exemple) cependant polytech me la interdit. De plus ne faire que 2 semestre de lv2 sur 5annees d'etude est inutile pour progresser. La remplacer par une matiere comme ecologie ou culture G serait surement plus interessant 
Mecanique Structures Industrielles (MSI - apprentissage),Aucuns
Informatique et Gestion (IG),Gestion des organisations statistiques maths de la decision math pour l informatique (sauf les complexite algorithmiques)
Genie Biologique et Agroalimentaires (GBA),Communication 
Informatique et Gestion (IG),Je ne sais plus
Microelectronique Et Automatique (MEA),cours de LV3 les cour de management
Materiaux (MAT),Pour moi (en tant que MAT option physico-chimie) j'ai l'impression d'avoir perdu mon temps avec la RDD et MMC (ou plus en general la mecanique). Il m'a paru plus interessant de voir la mecanique appliquee directement au materiau comme fait en partie en metallurgie ou encore en polymere qui correspond plus au travail d'un ingenieur qualite. 
Materiaux (MAT),Aucun
Microelectronique Et Automatique (MEA),Ne se prononce pas
Materiaux (MAT),Trop de cours de management
Mecanique Structures Industrielles (MSI - apprentissage),Mmc
Sciences et Technologies de l'Eau (STE),Je ne peux pas repondre les enseignements sont tres differents et servent tous a un profil d'etudiant particulier pour la suite 
Sciences et Technologies de l'Eau (STE),Allemand Communication  Droit (dans sa forme actuelle) 
Materiaux (MAT),Physique statistique
Sciences et Technologies de l'Eau (STE),Communication 
Sciences et Technologies de l'Eau (STE),- statistiques - LV2 (pour certains nous reprenons une LV2 apres 2 ans sans pratiquer c'est assez difficile et les cours ne durent pas longtemps donc cela parait asse inutile => pas de progression)
Genie Biologique et Agroalimentaires (GBA),L'espagnol 
Materiaux (MAT),Communication  
Eau et Genie Civil (EGC - apprentissage),Ras
Eau et Genie Civil (EGC - apprentissage),Traitement des eaux et microbiologie
Materiaux (MAT),Espagnol
Mecanique et Interactions (MI),Les matieres type SHES Organisations des entreprises semblent occuper beaucoup de temps dans la formation (pour au final et selon moi que l'eleve ne retienne que quelques notions qu'il reapprendra en entreprise) alors que d'autres matieres plus techniques et donc tres utiles a l'ingenieur mecanique en manquent. (Il me semble qu'un quota minimum doit etre respecte ce qui est assez malheureux)  La matiere PPCM de memoire est une enorme quantite d'informations delivree mais ne me semble pas vraiment etre totalement coherente avec la formation les TP de cette matiere representaient egalement un trop gros volume horaire. 
Informatique et Gestion (IG),Comptabilite
Materiaux (MAT),economie
Genie Biologique et Agroalimentaires (GBA),Aucun
Materiaux (MAT),Aucun
Sciences et Technologies de l'Eau (STE),Les cours Genie des procedes qui sont tres mal amenes.
Genie Biologique et Agroalimentaires (GBA),L'espagnol : la duree de la formation est insuffisante pour nous permettre de parler cette langue a un niveau technique
Microelectronique Et Automatique (MEA),Droit (tres interessant pour la culture generale mais cela ne me sert pas dans ma mission actuelle).
Microelectronique Et Automatique (MEA),Les cours de RSE et de securite au travail.
Sciences et Technologies de l'Eau (STE),Pour ma part je ne pense pas qu'un enseignement ait ete inutile. Cependant une specialisation m'aurait permis d'approfondir mes connaissances dans le domaine que je visais (assainissement eaux usees et pluviales) sans detailler necessairement le reste (biologie lagunes notamment). Neanmoins je concois que la pluridisciplinarite de la formation reste utile pour acquerir des connaissances qui permettent de s'adapter a plusieurs missions (bien que la connaissance finisse par se perdre sans pratique).
Mecanique Structures Industrielles (MSI - apprentissage),Les enseignements de chimie
Materiaux (MAT),Aucun.
Microelectronique Et Automatique (MEA),Un cour comme Analyse complexe mais simplement parce que dans mon domaine je n'en ai pas l'utilite
Mecanique Structures Industrielles (MSI - apprentissage),- Droits   - Compta 
Mecanique et Interactions (MI),Aucun
Microelectronique Et Automatique (MEA),cf. Reponses ci-dessus.
Informatique et Gestion (IG),RO
Sciences et Technologies de l'Eau (STE),Tous sont plus ou moins utiles puisqu'ils permettent d'avoir un horizon elargi des differentes problematiques de l'eau et la legislation tend aujourd'hui a integrer l'ensemble de ces domaines dans les etudes 
Materiaux (MAT),Les cours de monsieur Muracciole Mais pas la rdm
Microelectronique Et Automatique (MEA),Espagnol Electronique (prend une trop grande place)
Genie Biologique et Agroalimentaires (GBA),TOEIC
Informatique et Gestion (IG),Les enseignements concernant les formations dispenses par IBM
Sciences et Technologies de l'Eau (STE),RAS
Mecanique et Interactions (MI),Chsct
Genie Biologique et Agroalimentaires (GBA),Calcul de reacteurs enzymologie et fermentation avec Pr Gommidh. Beaucoup de redondances en qualite auraient pu etre evitees pour les spe qualite et etre modifiees par du reglementaire. Il y a une tres grosse demande en qualite et affaires reglementaires et on a 0 cours la dessus dommage.
Sciences et Technologies de l'Eau (STE),GDP 
Genie Biologique et Agroalimentaires (GBA),le droit. 
Microelectronique Et Automatique (MEA),Ondes Espagnol Management de projet Perception2 (le premier cours d'intro suffit) 
Informatique et Gestion (IG),ras
Mecanique et Interactions (MI),Plusieurs cours suivi a la Faculte des sciences m'on semble denude d'interet ( plus dans la forme du cours que sur le fond lui meme).
Informatique et Gestion (IG),Je ne m'en rappelle plus mais je suis sur qu'il y en avait un ou deux :) 
Sciences et Technologies de l'Eau (STE),/
Sciences et Technologies de l'Eau (STE),Je les trouve tous utiles car la variete des enseignements permet a chacun de se developer dans le domain qui l'attire le plus. 
Mecanique et Interactions (MI),Automatisme
Microelectronique Et Automatique (MEA),Droit
Mecanique et Interactions (MI),Analyse numerique 
Sciences et Technologies de l'Eau (STE),Rien d'inutile. Il aurait juste fallu qu'on puisse se specialiser dans un domaine (hydraulique traitement ecologie...) des la 4eme annee.
Microelectronique Et Automatique (MEA),Les cours de communication de 1ere annee.
Genie Biologique et Agroalimentaires (GBA),En 3A l'enseignement sur les equation lineaires
Genie Biologique et Agroalimentaires (GBA),Algorithmes Bases de donnees
Sciences et Technologies de l'Eau (STE),A titre personnel tous les enseignements sont plus ou moins utile et interessant pour la culture scientifique et general cependant dans mon poste actuel j'utilise que peu d'enseignement.  Enseignements inutiles pour mon poste : - Hydraulique en regime transitoire - Hydraulique souterraine - Production d'eau potable - Suivi de crues   
Mecanique Structures Industrielles (MSI - apprentissage),eco gestion comptabilite 
Genie Biologique et Agroalimentaires (GBA),Algorithme/Programmation
Sciences et Technologies de l'Eau (STE),Mon poste actuel etant tres different de la formation STE je ne peux pas repondre a cette question. 
Sciences et Technologies de l'Eau (STE),Les cours enseignes sans pedagogie... aujourd'hui je ne m'en souviens plus du tout !
Sciences et Technologies de l'Eau (STE),La plupart des cours que j'ai suivis en STE ne m'aide pas directement dans mon travail actuel mais il n'y a pas d'enseignements inutile. La formation STE est au final assez large et il faut qu'elle le reste.  Il serait triste de n'apprendre que des choses qui nous sont utiles au quotidien. La formation STE me permet d'interagir sur des sujets divers et varies dans la cadre du travail mais aussi a l'exterieur.  Un cadre (ingenieur ou autre) doit savoir s'adapter et comprendre une situation rapidement. Pour cela plus les connaissances sont larges mieux c'est.  
Materiaux (MAT),-
Genie Biologique et Agroalimentaires (GBA),Qualite vie au travail 
Mecanique Structures Industrielles (MSI - apprentissage),/
Mecanique et Interactions (MI),Le dessin technique sur papier. Aujourd'hui la totalite de dessin technique sont fait avec des logiciels.
Materiaux (MAT),les sujets beaucoup trop specifiques comme la physique statistique par exemple... 
Sciences et Technologies de l'Eau (STE),Pas d'avis 
Sciences et Technologies de l'Eau (STE),Certaines presentations durant la STE5 sont redondants 
Informatique et Gestion (IG),SIRH LV2 imposee Simulation d'entreprise Management des SI
Materiaux (MAT),Les cours d'economie les maths de 4eme annee certains enseignements mecaniques
Microelectronique Et Automatique (MEA),Aucun cours n'est inutile mais la diversite des domaines etudies est peut-etre un peu trop grande
Mecanique et Interactions (MI),Langue vivante 2 (allemand) Droit
Informatique et Gestion (IG),Monter sa startup les intervenants d'IBM LV2 espagnol. Personnellement les cours de maths ne m'ont ete d'aucune utilite et j'ai un moins bon niveau maintenant qu'en sortant du bac S.
Genie Biologique et Agroalimentaires (GBA),Cours de communication (autres que ceux de Mme Agnes Seye qui sont parfaits) ou  on a passer 8h a faire des poemes.
Sciences et Technologies de l'Eau (STE),Aucun
Materiaux (MAT),-
Mecanique Structures Industrielles (MSI - apprentissage),-anglais (car on apprends plus en travaillant chez nous que au cours des rares heures reparties dans l'annee) -management gestion strategie communication etc.  car on fait joujou et on amuse la galerie et on paye un consultant cher pour un cours sans 
Sciences et Technologies de l'Eau (STE),Tout est utile meme ce qui ne sers pas dans l'avenir professionnel
Genie Biologique et Agroalimentaires (GBA),Aucune
Genie Biologique et Agroalimentaires (GBA),Les cours de LV2
Microelectronique Et Automatique (MEA),LV2 (effectivement utile si bonne volonte des eleves mais pas assez 'prioritaire' pour eux)   Certains CM (parfois trop de details sur des domaines tres specifiques - reseaux de Petri par exemple presentation de lignes de codes C/C++ sur plusieurs heures...)  
Mecanique et Interactions (MI),OSPE
Materiaux (MAT),Physique statistique methodes elements finis
Microelectronique Et Automatique (MEA),NSP
Materiaux (MAT),Aucun
Microelectronique Et Automatique (MEA),Microelectronique Langue vivante 2
Mecanique et Interactions (MI),Aucun
Genie Biologique et Agroalimentaires (GBA),Aucun n'est vraiment inutile
Sciences et Technologies de l'Eau (STE),RAS
Informatique et Gestion (IG),Comptabilite
Microelectronique Et Automatique (MEA),Beaucoup trop pour tous les lister cependant cela est principalement du a l'enseignant et de son implication.
Mecanique Structures Industrielles (MSI - apprentissage),La comptabilite
Sciences et Technologies de l'Eau (STE),Aucun
